Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Activity Start Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value Qualifier,Result Comments,Result Value Type Name,Dilution
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:16:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-1,1,6/30/23,10:08:00 AM,CDT,8,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,3:02:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-1,1,8/18/23,9:30:00 AM,CDT,3,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,3:31:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-1,1,10/31/23,10:07:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:21:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-2,1,6/30/23,9:50:00 AM,CDT,2,ug/L,1,1,ug/L,Q,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,3:14:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-2,1,8/18/23,9:18:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,3:35:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-2,1,10/31/23,9:43:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:26:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-3,1,6/30/23,9:38:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,8/18/23,3:19:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-3,1,8/18/23,8:17:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,11/1/23,3:39:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-3,1,10/31/23,9:28:00 AM,CDT,2,ug/L,1,1,ug/L,,,Actual,1
Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,6/30/23,2:33:00 PM,CDT,11/29/23,9:30:00 AM,EST,Bay,East Bay-4,1,6/30/23,9:23:00 AM,CDT,1,ug/L,1,1,ug/L,QU,,Actual,1
