ADAPT_Analyte_ID,Org_Analyte_Name,Activity_Type,Sample_Collection_Type,Sample_Collection_Equipment,Activity_Depth,Activity_Depth_Unit,Total_Depth,Total_Depth_Unit,Analysis_Method,Sample_Fraction,Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Org_Result_Value,Org_Result_Unit,Org_MDL,Org_PQL,Org_Detection_Unit,Value_Qualifier,Result_Comments,Result_Value_Type_Name,Dilution
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,08/01/2028,10:30:00 AM,EDT,09/07/2028,09:20:00 AM,EDT,Alachua,Alice,1,08/01/2028,09:20:00 AM,EDT,22,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,08/01/2028,11:05:00 AM,EDT,09/07/2028,09:20:00 AM,EDT,Alachua,Alice,2,08/01/2028,10:08:00 AM,EDT,16,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,08/01/2028,11:35:00 AM,EDT,09/07/2028,09:20:00 AM,EDT,Alachua,Alice,3,08/01/2028,10:46:00 AM,EDT,20,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,04/20/2028,11:40:00 AM,EDT,07/11/2028,12:00:00 PM,EDT,Alachua,Alto,1,04/20/2028,09:53:00 AM,EDT,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,04/20/2028,11:30:00 AM,EDT,07/11/2028,12:00:00 PM,EDT,Alachua,Alto,2,04/20/2028,10:14:59 AM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,04/20/2028,11:20:00 AM,EDT,07/11/2028,12:00:00 PM,EDT,Alachua,Alto,3,04/20/2028,10:32:59 AM,EDT,4,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,05/17/2028,01:20:00 PM,EDT,08/03/2028,12:00:00 PM,EDT,Alachua,Alto,1,05/17/2028,09:50:00 AM,EDT,9,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,05/17/2028,01:25:00 PM,EDT,08/03/2028,12:00:00 PM,EDT,Alachua,Alto,2,05/17/2028,10:14:59 AM,EDT,6,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,05/17/2028,01:35:00 PM,EDT,08/03/2028,12:00:00 PM,EDT,Alachua,Alto,3,05/17/2028,10:40:00 AM,EDT,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,06/18/2028,02:10:00 PM,EDT,09/11/2028,12:00:00 PM,EDT,Alachua,Alto,1,06/18/2028,10:17:59 AM,EDT,12,ug/L,1,1,ug/L,,,Actual,1
