Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Vol Filtered (L),Ethanol (ml),Tube #,750,664,647,630,750 (HCL),665 (HCL),Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
,,,10/15/2025,12:00:00 PM,EST,,,MBLK1,,,,1,8,1,0.003,0.003,0.004,0.003,0.003,0.003,0,,,TI,,TI,QAQC,CHLC1014202510152025,,
07/21/2025,11:50:00 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,IFAS Collier Pond,1,07/21/2025,11:22:00 AM,EST,0.5,8,2,0.008,0.018,0.014,0.008,0.006,0.013,1,,,U,,U,Sample,CHLC1014202510152025,,
07/21/2025,11:52:00 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,IFAS Collier Pond,2,07/21/2025,11:32:00 AM,EST,0.5,8,3,0,0.012,0.005,0,0,0.008,2,,,,,,Sample,CHLC1014202510152025,,
07/21/2025,11:54:00 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,IFAS Collier Pond,3,07/21/2025,11:35:59 AM,EST,0.5,8,4,0.007,0.02,0.012,0.007,0.005,0.013,2,,,,,,Sample,CHLC1014202510152025,,
08/20/2025,12:16:00 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,IFAS Collier Pond,1,08/20/2025,11:37:00 AM,EST,0.5,8,5,0.038,0.054,0.046,0.038,0.033,0.045,2,,,,,,Sample,CHLC1014202510152025,,
08/20/2025,12:19:59 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,IFAS Collier Pond,2,08/20/2025,11:41:00 AM,EST,0.5,8,6,0.007,0.02,0.013,0.007,0.007,0.016,2,,,,,,Sample,CHLC1014202510152025,,
08/20/2025,12:27:00 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,IFAS Collier Pond,3,08/20/2025,11:46:00 AM,EST,0.5,8,7,0.003,0.02,0.009,0.003,0.006,0.019,2,,,,,,Sample,CHLC1014202510152025,,
07/17/2025,12:45:00 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,Islandwalk,1,07/16/2025,09:44:00 AM,EST,0.5,8,8,0.006,0.018,0.011,0.006,0.006,0.014,2,,,,,,Sample,CHLC1014202510152025,,
07/17/2025,12:51:00 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,Islandwalk,2,07/16/2025,09:36:00 AM,EST,0.5,8,9,0.004,0.021,0.011,0.004,0.006,0.014,4,,,,,,Sample,CHLC1014202510152025,,
07/17/2025,12:54:00 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,Islandwalk,3,07/16/2025,09:20:59 AM,EST,0.5,8,10,0.006,0.011,0.009,0.006,0.008,0.007,3,,,,,,Sample,CHLC1014202510152025,,
07/17/2025,12:58:00 PM,EST,10/15/2025,12:00:00 PM,EST,Collier,Islandwalk,8,07/16/2025,10:04:00 AM,EST,0.5,8,11,0.007,0.013,0.011,0.007,0.007,0.007,3,,,,,,Sample,CHLC1014202510152025,,
06/30/2025,11:35:59 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,Saddlebrook,1,06/30/2025,10:42:00 AM,EST,0.5,8,12,0.01,0.023,0.017,0.01,0.014,0.018,4,,,,,,Sample,CHLC1014202510152025,,
06/30/2025,11:40:00 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,Saddlebrook,2,06/30/2025,10:54:00 AM,EST,0.5,8,13,0.004,0.015,0.009,0.004,0.007,0.015,1,,,U,,U,Sample,CHLC1014202510152025,,
06/30/2025,11:44:59 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,Saddlebrook,3,06/30/2025,11:01:00 AM,EST,0.5,8,14,0.007,0.021,0.013,0.007,0.006,0.016,2,,,,,,Sample,CHLC1014202510152025,,
07/30/2025,11:40:00 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,Saddlebrook,1,07/30/2025,10:40:00 AM,EST,0.5,8,15,0.009,0.017,0.012,0.009,0.004,0.009,1,,,U,,U,Sample,CHLC1014202510152025,,
07/30/2025,11:42:59 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,Saddlebrook,2,07/30/2025,10:50:00 AM,EST,0.5,8,16,0.006,0.013,0.009,0.006,0.007,0.012,1,,,U,,U,Sample,CHLC1014202510152025,,
07/30/2025,11:44:59 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,Saddlebrook,3,07/30/2025,10:57:00 AM,EST,0.5,8,17,0.005,0.014,0.009,0.005,0.007,0.013,1,,,U,,U,Sample,CHLC1014202510152025,,
08/29/2025,08:24:59 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,SB-61,1,08/25/2025,08:09:59 AM,EST,0.5,8,18,0.006,0.054,0.024,0.006,0.008,0.04,7,,,,,,Sample,CHLC1014202510152025,,
08/29/2025,08:30:00 AM,EST,10/15/2025,12:00:00 PM,EST,Collier,SB-61,2,08/25/2025,08:15:00 AM,EST,0.5,8,19,0.008,0.054,0.024,0.008,0.006,0.038,6,,,,,,Sample,CHLC1014202510152025,,
08/17/2025,09:52:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,E,1,08/17/2025,08:44:59 AM,EST,1,8,20,0.002,0.024,0.01,0.002,0.008,0.023,1,,,U,,U,Sample,CHLC1014202510152025,,
08/17/2025,09:54:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,E,2,08/17/2025,08:40:00 AM,EST,1,8,21,0.006,0.025,0.013,0.006,0.005,0.019,1,,,U,,U,Sample,CHLC1014202510152025,,
,,,10/15/2025,12:00:00 PM,EST,,,CCV1,,,,8.0000000000000002E-3,8,22,0.005,0.019,0.009,0.005,0.004,0.013,134,,,,,,QAQC,CHLC1014202510152025,,
,,,10/15/2025,12:00:00 PM,EST,,,MLBK2,,,,1,8,23,0.003,0.003,0.003,0.003,0.003,0.003,0,,,TI,,TI,QAQC,CHLC1014202510152025,,
08/17/2025,10:05:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,E,3,08/17/2025,08:32:00 AM,EST,1,8,24,0.006,0.026,0.014,0.006,0.009,0.023,1,,,U,,U,Sample,CHLC1014202510152025,,
04/08/2025,09:29:59 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Lakeridge,1,04/08/2025,09:20:00 AM,EST,1,8,25,0.007,0.034,0.017,0.007,0.007,0.024,2,,,Q,Q,,Sample,CHLC1014202510152025,,
04/08/2025,09:35:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Lakeridge,2,04/08/2025,09:15:00 AM,EST,1,8,26,0.006,0.032,0.014,0.006,0.006,0.023,2,,,Q,Q,,Sample,CHLC1014202510152025,,
04/08/2025,09:39:59 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Lakeridge,3,04/08/2025,09:10:00 AM,EST,1,8,27,0.006,0.032,0.015,0.006,0.006,0.023,2,,,Q,Q,,Sample,CHLC1014202510152025,,
08/26/2025,09:15:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Lakeridge,1,08/26/2025,09:10:00 AM,EST,1,8,28,0.004,0.043,0.017,0.004,0.006,0.031,3,,,,,,Sample,CHLC1014202510152025,,
08/26/2025,09:20:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Lakeridge,2,08/26/2025,09:05:00 AM,EST,1,8,29,0.004,0.043,0.017,0.004,0.005,0.03,3,,,,,,Sample,CHLC1014202510152025,,
08/26/2025,09:25:00 AM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Lakeridge,3,08/26/2025,09:00:00 AM,EST,1,8,30,0.005,0.042,0.017,0.005,0.001,0.024,3,,,,,,Sample,CHLC1014202510152025,,
07/14/2025,01:39:00 PM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Oakland,1,07/14/2025,12:28:00 PM,EST,0.5,8,31,0.005,0.022,0.012,0.005,0.006,0.018,2,,,,,,Sample,CHLC1014202510152025,,
07/14/2025,01:48:59 PM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Oakland,2,07/14/2025,12:34:00 PM,EST,0.5,8,32,0.003,0.017,0.009,0.003,0.004,0.014,2,,,,,,Sample,CHLC1014202510152025,,
07/14/2025,01:59:00 PM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Oakland,3,07/14/2025,12:42:00 PM,EST,0.5,8,33,0.004,0.019,0.01,0.004,0.006,0.017,2,,,,,,Sample,CHLC1014202510152025,,
08/10/2025,01:32:00 PM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Oakland,1,08/10/2025,12:29:00 PM,EST,0.5,8,34,0.006,0.024,0.013,0.006,0.01,0.023,2,,,,,,Sample,CHLC1014202510152025,,
08/10/2025,01:38:00 PM,EST,10/15/2025,12:00:00 PM,EST,Miami-Dade,Oakland,2,08/10/2025,12:38:00 PM,EST,0.5,8,35,0.009,0.026,0.016,0.009,0.009,0.022,2,,,,,,Sample,CHLC1014202510152025,,
