ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Analysis Method,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value Qualifier,Result Value Type Name,Dilution
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Alice,1,01/25/2024,EST,27,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Blues Creek-1,1,01/26/2024,EST,47,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Blues Creek-2,1,01/26/2024,EST,214,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Blues Creek-3,1,01/26/2024,EST,212,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Cellon Creek-1,1,01/24/2024,EST,112,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Cellon Creek-2,1,01/24/2024,EST,164,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Cellon Creek-3,1,01/24/2024,EST,186,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Cellon Creek-4,1,01/24/2024,EST,191,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,02/06/2024,9:53:00 AM,EST,02/06/2024,12:02:00 PM,EST,Alachua,Elizabeth,1,10/30/2023,,109,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Hogtown Creek-1,1,10/01/2023,,17,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Hogtown Creek-2,1,10/01/2023,,20,PCU,1,1,PCU,Q,Actual,1
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,03/05/2024,10:00:00 AM,EST,03/05/2024,12:08:00 PM,EST,Alachua,Kingswood,1,01/25/2024,EST,180,PCU,1,1,PCU,Q,Actual,2
FL-PHYS-012,Color- True,Sample,Direct Grab,Water Bottle,0.3,m,SM 2120 C,12/21/2023,10:30:00 AM,EST,12/21/2023,11:30:00 AM,EST,Alachua,Little Santa Fe,2,11/28/2023,,41,PCU,1,1,PCU,Q,Actual,1
