Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(PCU),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,,,MBLK1,,,1,0,0,,,QTI,Q,TI,QAQC,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Fall_Belchior_Student,1,8/13/25,,1,0.1,73,,,,,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Fall_Belchior_Student,2,8/13/25,,1,0.094,69,,,,,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Spring_Belchior_Student,1,4/29/25,,1,0.035,26,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Spring_Belchior_Student,2,4/29/25,,1,0.029,21,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Spring_Belchior_Student,3,4/30/25,,1,0.085,62,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Spring_Belchior_Student,4,4/30/25,,1,0.085,62,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Spring_Belchior_Student,5,4/30/25,,1,0.093,68,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Downstream Spring_Belchior_Student,6,4/30/25,,1,0.114,84,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Fall_Belchior_Student,1,8/13/25,,1,0.071,52,,,,,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Fall_Belchior_Student,2,8/13/25,,1,0.036,26,,,,,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Fall_Belchior_Student,3,8/13/25,,1,0.035,26,,,,,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Fall_Belchior_Student,4,8/13/25,,1,0.047,34,,,,,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Spring_Belchior_Student,1,4/29/25,,1,0.069,51,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Spring_Belchior_Student,2,4/29/25,,1,0.008,6,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Spring_Belchior_Student,3,4/29/25,,1,0.007,5,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Upstream Spring_Belchior_Student,4,4/29/25,,1,0.007,5,,,Q,Q,,Sample,COL1014202510152025,Student Project,
10/14/25,3:40:00 PM,EST,10/15/25,11:39:00 AM,EST,Marion,Ponar Fall_Belchior_Student,1,8/13/25,,1,0.086,63,,,,,,Sample,COL1014202510152025,Student Project,
