Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Org_Result_Value,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
7/7/23,9:16:00 AM,EDT,7/7/23,10:21:00 AM,EDT,Alachua,Kingswood,1,4/6/23,,,,190,,,Q,,,,,,
4/24/23,10:03:00 AM,EDT,4/24/23,11:50:00 AM,EDT,Hillsborough,Cypress Creek-122,1,1/23/23,,,,119,,,Q,,,,,,
4/24/23,10:03:00 AM,EDT,4/24/23,11:50:00 AM,EDT,Hillsborough,Cypress Creek-122,2,1/23/23,,,,119,,,Q,,,,,,
7/5/23,10:01:00 AM,EDT,7/5/23,12:11:00 PM,EDT,Hillsborough,Cypress Creek-122,1,4/25/23,,,,36,,,Q,,,,,,
6/7/23,10:22:00 AM,EDT,6/7/23,11:30:00 AM,EDT,Orange,Little Sawyer,1,1/2/23,,,,21,,,Q,,,,,,
6/7/23,10:22:00 AM,EDT,6/7/23,11:30:00 AM,EDT,Orange,Sawyer,1,1/2/23,,,,28,,,Q,,,,,,
3/29/23,10:59:00 AM,EDT,3/29/23,12:56:00 PM,EDT,Pinellas,Autumn,1,1/12/23,,,,38,,,Q,,,,,,
4/13/23,8:55:00 AM,EDT,4/13/23,10:06:00 AM,EDT,Polk,Big Bass,1,1/4/23,,,,36,,,Q,,,,,,
4/25/23,10:07:00 AM,EDT,4/25/23,1:35:00 PM,EDT,Sarasota,South,1,10/13/22,,,,43,,,Q,,,,,,
1/30/23,9:19:00 AM,EST,1/30/23,11:01:00 AM,EST,Bay,Massalina Bayou-1,1,10/19/22,,,,10,,,Q,,,,,,
12/22/22,11:00:00 AM,EST,12/22/22,12:00:00 PM,EST,Hillsborough,Cypress Creek-122,1,10/26/22,,,,153,,,Q,,,,,,
12/22/22,11:00:00 AM,EST,12/22/22,12:00:00 PM,EST,Hillsborough,Cypress Creek-122,2,10/26/22,,,,160,,,Q,,,,,,
12/19/22,3:00:00 PM,EST,12/19/22,4:15:00 PM,EST,Hillsborough,Pine,1,10/20/22,,,,23,,,Q,,,,,,
2/15/23,9:20:00 AM,EST,2/15/23,10:17:00 AM,EST,Orange,Holden,1,10/16/22,,,,15,,,Q,,,,,,
2/15/23,9:20:00 AM,EST,2/15/23,10:17:00 AM,EST,Orange,Holden Canal-1,1,10/16/22,,,,16,,,Q,,,,,,
1/30/23,9:19:00 AM,EST,1/30/23,11:01:00 AM,EST,Sarasota,Lake 37,1,10/17/22,,,,49,,,Q,,,,,,
1/30/23,9:19:00 AM,EST,1/30/23,11:01:00 AM,EST,Sarasota,Lake G-20,2,10/17/22,,,,31,,,Q,,,,,,
1/30/23,9:19:00 AM,EST,1/30/23,11:01:00 AM,EST,Sarasota,Lake M-9,1,10/17/22,,,,54,,,Q,,,,,,
10/17/22,11:18:00 AM,EDT,10/17/22,12:41:00 PM,EDT,Citrus,Tsala Apopka South,1,7/29/22,,,,45,,,Q,,,,,,
10/5/22,9:55:00 AM,EDT,10/5/22,10:44:00 AM,EDT,Columbia,Rum Island Spring-1,1,7/20/22,,,,2,,,Q,,,,,,
10/5/22,9:55:00 AM,EDT,10/5/22,10:44:00 AM,EDT,Gilchrist,Gilchrist Blue Spring Run-1,1,7/20/22,,,,4,,,Q,,,,,,
10/5/22,9:55:00 AM,EDT,10/5/22,10:44:00 AM,EDT,Gilchrist,Ginnie Spring Run-1,1,7/20/22,,,,2,,,Q,,,,,,
8/22/22,10:44:00 AM,EDT,8/22/22,1:16:00 PM,EDT,Hillsborough,Cedar West,1,7/27/22,,,,26,,,Q,,,,,,
8/22/22,10:44:00 AM,EDT,8/22/22,1:16:00 PM,EDT,Hillsborough,Cypress Creek-122,1,7/27/22,,,,159,,,Q,,,,,,
8/22/22,10:44:00 AM,EDT,8/22/22,1:16:00 PM,EDT,Hillsborough,Cypress Creek-122,2,7/27/22,,,,153,,,Q,,,,,,
8/18/22,10:33:00 AM,EDT,8/18/22,1:27:00 PM,EDT,Lake,Yale,1,7/14/22,,,,15,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Miami-Dade,Lakeridge,2,7/18/22,,,,4,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Miami-Dade,Oakland,1,7/26/22,,,,8,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Monroe,Tarpon Basin-1,1,7/23/22,,,,6,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Black,1,7/29/22,,,,147,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Clear,1,7/25/22,,,,16,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Down,1,7/17/22,,,,9,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Formosa,1,7/21/22,,,,11,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Hickorynut South,2,7/24/22,,,,21,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Jessamine South,2,7/21/22,,,,15,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Little Hickorynut,2,7/30/22,,,,31,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Little Sawyer,1,7/9/22,,,,15,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Olivia,1,7/18/22,,,,10,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Price,1,7/29/22,,,,19,,,Q,,,,,,
10/18/22,10:00:00 AM,EDT,10/18/22,12:15:00 PM,EDT,Orange,Rowena,1,7/30/22,,,,13,,,Q,,,,,,
10/21/22,10:33:00 AM,EDT,10/21/22,11:56:00 AM,EDT,Osceola,Coon,1,7/17/22,,,,122,,,Q,,,,,,
