Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Org_Result_Value,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
01/01/2024,12:00:00 AM,EDT,09/25/2024,1:56:00 PM,EDT,Alachua,Alice,1,07/31/2024,,1,0.059,45,,,,,,Sample,COL0924202409252024,,
09/13/2024,3:06:00 PM,EDT,09/16/2024,1:59:00 PM,EDT,Alachua,Alto,1,07/19/2024,,1,0.062,44,,,,,,Sample,COL91320249162024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Blues Creek-1,1,07/15/2024,,1,0.076,57,,,,,,Sample,COL1112202411142024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Blues Creek-2,1,07/15/2024,,1,0.02,15,,,,,,Sample,COL1112202411142024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Cellon Creek-2,1,07/15/2024,,1,0.101,76,,,,,,Sample,COL1112202411142024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Cellon Creek-4,1,07/15/2024,,1,0.022,16,,,,,,Sample,COL1112202411142024,,
09/03/2024,10:35:00 AM,EDT,09/05/2024,12:12:00 PM,EDT,Alachua,Deer Run,1,04/15/2024,,1,0.012,9,,,,,,Sample,COL,,
10/17/2024,2:10:00 PM,EDT,10/22/2024,11:31:00 AM,EDT,Alachua,Elizabeth,1,07/28/2024,,1,0.061,48,1,,,,,Sample,COL10172024COL10222024,,
01/01/2004,12:00:00 AM,EDT,09/25/2024,1:56:00 PM,EDT,Alachua,Kingswood,1,07/31/2024,,1,0.154,118,,,,,,Sample,COL0924202409252024,,
08/23/2024,3:00:00 PM,EDT,08/28/2024,2:30:00 PM,EDT,Alachua,Little Santa Fe,2,05/28/2024,,1,0.05,36,,,,,,Sample,COL8232482824,,
08/23/2024,3:00:00 PM,EDT,08/28/2024,2:30:00 PM,EDT,Alachua,Little Santa Fe,2,06/25/2024,,1,0.05,36,,,,,,Sample,COL8232482824,,
01/01/2004,12:00:00 AM,EDT,09/25/2024,1:56:00 PM,EDT,Alachua,Little Santa Fe,2,07/29/2024,,1,0.04,31,,,,,,Sample,COL0924202409252024,,
09/13/2024,3:06:00 PM,EDT,09/16/2024,1:59:00 PM,EDT,Alachua,Little Santa Fe,2,08/19/2024,,1,0.091,64,,,,,,Sample,COL91320249162024,,
11/15/2024,11:00:00 AM,EST,11/15/2024,12:48:00 PM,EST,Alachua,Little Santa Fe,2,09/30/2024,,1,0.075,56,,,,,,Sample,COL11152024,,
11/15/2024,11:00:00 AM,EST,11/15/2024,12:48:00 PM,EST,Alachua,Little Santa Fe,2,10/28/2024,,1,0.082,62,,,,,,Sample,COL11152024,,
01/01/2004,12:00:00 AM,EDT,09/25/2024,1:56:00 PM,EDT,Alachua,Lochloosa,1,07/10/2024,,1,0.072,55,,,,,,Sample,COL0924202409252024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Lochloosa_Lynch_Student Project,L1,10/24/2024,,1,0.143,108,,,,,,Sample,COL1112202411142024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Lochloosa_Lynch_Student Project,L3,10/24/2024,,1,0.175,132,,,,,,Sample,COL1112202411142024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Lochloosa_Lynch_Student Project,OD,10/24/2024,,1,0.138,104,,,,,,Sample,COL1112202411142024,,
11/12/2024,2:36:00 PM,EST,11/14/2024,12:33:00 PM,EST,Alachua,Lochloosa_Lynch_Student Project,OS,10/24/2024,,1,0.107,81,,,,,,Sample,COL1112202411142024,,
08/23/2024,3:00:00 PM,EDT,08/28/2024,2:30:00 PM,EDT,Alachua,Melrose Bay,2,06/25/2024,,1,0.033,24,,,,,,Sample,COL8232482824,,
01/01/2004,12:00:00 AM,EDT,09/25/2024,1:56:00 PM,EDT,Alachua,Melrose Bay,2,07/29/2024,,1,0.029,22,,,,,,Sample,COL0924202409252024,,
09/13/2024,3:06:00 PM,EDT,09/16/2024,1:59:00 PM,EDT,Alachua,Melrose Bay,2,08/19/2024,,1,0.027,19,,,,,,Sample,COL91320249162024,,
