ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Analysis Method,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Org Result Value,Org Result Unit,Value Qualifier,Result Value Type Name,Dilution
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Alice,1,01/25/2024,242.9,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Blues Creek-1,1,01/26/2024,176,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Blues Creek-2,1,01/26/2024,99,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Blues Creek-3,1,01/26/2024,100,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Cellon Creek-1,1,01/24/2024,238,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Cellon Creek-2,1,01/24/2024,227,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Cellon Creek-3,1,01/24/2024,307,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Cellon Creek-4,1,01/24/2024,333,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,02/06/2024,8:13:00 AM,EST,Alachua,Elizabeth,1,10/30/2023,60.2,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Hogtown Creek-1,1,10/01/2023,277.6,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Hogtown Creek-2,1,10/01/2023,268,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Kingswood,1,01/25/2024,97,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Little Santa Fe,2,11/28/2023,76,uS/cm,,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,02/05/2024,7:55:00 AM,EST,Alachua,Little Santa Fe,2,12/12/2023,73.8,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Little Santa Fe,1,01/31/2024,70,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Lochloosa,1,10/17/2023,113,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Melrose Bay,2,11/28/2023,73,uS/cm,,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,02/05/2024,7:55:00 AM,EST,Alachua,Melrose Bay,2,12/12/2023,71.8,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Melrose Bay,1,01/31/2024,74,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Newnan,1,10/16/2023,84,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Santa Fe,2,11/28/2023,94,uS/cm,,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,02/05/2024,7:55:00 AM,EST,Alachua,Santa Fe,2,12/12/2023,71.2,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Santa Fe,1,01/31/2024,70,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,12/21/2023,9:30:00 AM,EST,Alachua,Santa Fe-barricade,1,11/28/2023,73,uS/cm,,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,02/05/2024,7:55:00 AM,EST,Alachua,Santa Fe-barricade,1,12/12/2023,71,uS/cm,Q,Actual,1
1610,Specific Conductance,Sample,Direct Grab,Water Bottle,0.3,m,SM 2510 B,03/05/2024,8:18:00 AM,EST,Alachua,Santa Fe-barricade,1,01/31/2024,70,uS/cm,Q,Actual,1
