Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Org_Result_Value,Org_Result_Unit,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,,,MBLK1,,,1,1,uS/cm,,,,,,QAQC,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Alachua,Wauberg,1,10/12/25,,1,99,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Citrus,Crystal River-1,1,7/14/25,,1,11,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Citrus,Crystal River-6,1,7/19/25,,1,4494,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Citrus,Crystal River-7,1,7/14/25,,1,11,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Clay,Asbury North,1,7/28/25,,1,153,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Clay,Fox Valley,1,7/12/25,,1,113,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-1,1,7/23/25,,1,35,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-3,1,7/23/25,,1,28,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-4,1,7/23/25,,1,18,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-5,1,7/23/25,,1,34,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-6,1,7/23/25,,1,20,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-1,1,10/8/25,,1,25,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-3,1,10/8/25,,1,34,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-5,1,10/8/25,,1,24,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Hernando Beach-6,1,10/8/25,,1,31,mS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Hernando,Mountain,1,7/27/25,,1,97,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Highlands,Clay,1,7/24/25,,1,163,uS/cm,,,,,,Sample,COND1117202511182025,,
11/17/25,11:02:00 AM,EST,11/18/25,8:06:00 AM,EST,Highlands,Jackson,1,7/14/25,,1,140,uS/cm,,,,,,Sample,COND1117202511182025,,
