Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Org_Result_Value,Org_Result_Unit,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
,,,7/7/23,8:08:00 AM,EDT,County,Kingswood,1,4/6/23,,,103,uS/cm,,,Q,,,,,,
,,,7/5/23,8:24:00 AM,EDT,Lake,Melrose Bay,2,5/29/23,,,71,uS/cm,,,Q,,,,,,
,,,7/5/23,8:24:00 AM,EDT,Station,Grassy,1,4/22/23,,,206,uS/cm,,,Q,,,,,,
,,,4/24/23,8:15:00 AM,EDT,Activity Start Date,Cypress Creek-122,1,1/23/23,,,190,uS/cm,,,Q,,,,,,
,,,4/24/23,8:15:00 AM,EDT,Activity Start Time,Cypress Creek-122,2,1/23/23,,,199,uS/cm,,,Q,,,,,,
,,,7/5/23,8:24:00 AM,EDT,Activity Time Zone,Cypress Creek-122,1,4/25/23,,,254,uS/cm,,,Q,,,,,,
,,,6/7/23,8:41:00 AM,EDT,Orange,Little Sawyer,1,1/2/23,,,268,uS/cm,,,Q,,,,,,
,,,6/7/23,8:41:00 AM,EDT,Orange,Sawyer,1,1/2/23,,,275,uS/cm,,,Q,,,,,,
,,,3/29/23,9:29:00 AM,EDT,Pinellas,Autumn,1,1/12/23,,,411,uS/cm,,,Q,,,,,,
,,,4/13/23,7:46:00 AM,EDT,Polk,Big Bass,1,1/4/23,,,153,uS/cm,,,Q,,,,,,
,,,4/25/23,8:16:00 AM,EDT,Sarasota,South,1,10/13/22,,,1211,uS/cm,,,Q,,,,,,
,,,1/30/23,7:54:00 AM,EST,Bay,Massalina Bayou-1,1,10/19/22,,,45,mS/cm,,,Q,,,,,,
,,,12/22/22,9:20:00 AM,EST,Hillsborough,Cypress Creek-122,1,10/26/22,,,205,uS/cm,,,Q,,,,,,
,,,12/22/22,9:20:00 AM,EST,Hillsborough,Cypress Creek-122,2,10/26/22,,,187,uS/cm,,,Q,,,,,,
,,,12/19/22,12:00:00 PM,EST,Hillsborough,Pine,1,10/20/22,,,166,uS/cm,,,Q,,,,,,
,,,2/14/23,11:00:00 AM,EST,Orange,Holden,1,10/16/22,,,165,uS/cm,,,Q,,,,,,
,,,2/14/23,11:00:00 AM,EST,Orange,Holden Canal-1,1,10/16/22,,,187,uS/cm,,,Q,,,,,,
,,,1/30/23,7:54:00 AM,EST,Sarasota,Lake 37,1,10/17/22,,,212,uS/cm,,,Q,,,,,,
,,,1/30/23,7:54:00 AM,EST,Sarasota,Lake G-20,2,10/17/22,,,426,uS/cm,,,Q,,,,,,
,,,1/30/23,7:54:00 AM,EST,Sarasota,Lake M-9,1,10/17/22,,,340,uS/cm,,,Q,,,,,,
,,,10/17/22,10:31:00 AM,EDT,Citrus,Tsala Apopka South,1,7/29/22,,,153,uS/cm,,,Q,,,,,,
,,,10/5/22,9:04:00 AM,EDT,Columbia,Rum Island Spring-1,1,7/20/22,,,310,uS/cm,,,Q,,,,,,
,,,10/5/22,9:04:00 AM,EDT,Gilchrist,Gilchrist Blue Spring Run-1,1,7/20/22,,,278,uS/cm,,,Q,,,,,,
,,,10/5/22,9:04:00 AM,EDT,Gilchrist,Ginnie Spring Run-1,1,7/20/22,,,228,uS/cm,,,Q,,,,,,
,,,8/22/22,8:37:00 AM,EDT,Hillsborough,Cedar West,1,7/27/22,,,194,uS/cm,,,,,,,,,
,,,8/22/22,8:37:00 AM,EDT,Hillsborough,Cypress Creek-122,1,7/27/22,,,237,uS/cm,,,,,,,,,
,,,8/22/22,8:37:00 AM,EDT,Hillsborough,Cypress Creek-122,2,7/27/22,,,211,uS/cm,,,,,,,,,
,,,8/18/22,9:08:00 AM,EDT,Lake,Yale,1,7/14/22,,,304,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Miami-Dade,Lakeridge,2,7/18/22,,,156,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Miami-Dade,Oakland,1,7/26/22,,,258,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Monroe,Tarpon Basin-1,1,7/23/22,,,36,mS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Black,1,7/29/22,,,219,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Clear,1,7/25/22,,,160,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Down,1,7/17/22,,,284,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Formosa,1,7/21/22,,,190,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Hickorynut South,2,7/24/22,,,159,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Jessamine South,2,7/21/22,,,227,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Little Hickorynut,2,7/30/22,,,156,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Little Sawyer,1,7/9/22,,,231,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Olivia,1,7/18/22,,,236,uS/cm,,,Q,,,,,,
,,,10/18/22,9:00:00 AM,EDT,Orange,Price,1,7/29/22,,,158,uS/cm,,,Q,,,,,,
