Study,County,Lake,Station,Monitoring_Location_ID
LW,Alachua,Alice,1,Ala-Alice-1
LW,Alachua,Alice,2,Ala-Alice-2
LW,Alachua,Alice,3,Ala-Alice-3
LW,Alachua,Alto,1,Ala-Alto-1
LW,Alachua,Alto,2,Ala-Alto-2
LW,Alachua,Alto,3,Ala-Alto-3
LW,Alachua,Bivans Arm,1,Ala-BivansAr-1
LW,Alachua,Bivans Arm,2,Ala-BivansAr-2
LW,Alachua,Bivans Arm,3,Ala-BivansAr-3
LW,Alachua,Blues Creek-1,1,Ala-BluesC-1-1
LW,Alachua,Blues Creek-2,1,Ala-BluesC-2-1
LW,Alachua,Blues Creek-3,1,Ala-BluesC-3-1
LW,Alachua,Bonnet,1,Ala-Bonnet-1
LW,Alachua,Bonnet,2,Ala-Bonnet-2
LW,Alachua,Bonnet,3,Ala-Bonnet-3
LW,Alachua,Calf Pond,1,Ala-CalfP-1
LW,Alachua,Calf Pond,2,Ala-CalfP-2
LW,Alachua,Calf Pond,3,Ala-CalfP-3
LW,Alachua,Cellon Creek-1,1,Ala-CellonC-1-1
LW,Alachua,Cellon Creek-2,1,Ala-CellonC-2-1
LW,Alachua,Cellon Creek-3,1,Ala-CellonC-3-1
LW,Alachua,Cellon Creek-4,1,Ala-CellonC-4-1
LW,Alachua,Clear,1,Ala-Clear-1
LW,Alachua,Clear,2,Ala-Clear-2
LW,Alachua,Clear,3,Ala-Clear-3
LW,Alachua,Dean Pond,1,Ala-Dean Pond-1
LW,Alachua,Dean Pond,2,Ala-Dean Pond-2
LW,Alachua,Dean Pond,3,Ala-Dean Pond-3
LW,Alachua,Deep Spring Pond,1,Ala-DeepSpPd-1
LW,Alachua,Deep Spring Pond,2,Ala-DeepSpPd-2
LW,Alachua,Elizabeth,1,Ala-Elizabeth-1
LW,Alachua,Elizabeth,2,Ala-Elizabeth-2
LW,Alachua,Elizabeth,3,Ala-Elizabeth-3
LW,Alachua,Gwynn Oaks,1,Ala-GwynnOak-1
LW,Alachua,Gwynn Oaks,2,Ala-GwynnOak-2
LW,Alachua,Gwynn Oaks,3,Ala-GwynnOak-3
LW,Alachua,Hammocks,1,Ala-Hammocks-1
LW,Alachua,Hammocks,2,Ala-Hammocks-2
LW,Alachua,Hammocks,3,Ala-Hammocks-3
LW,Alachua,Hidden,1,Ala-Hidden-1
LW,Alachua,Hidden,2,Ala-Hidden-2
LW,Alachua,Hidden,3,Ala-Hidden-3
LW,Alachua,Hogtown Creek-1,1,Ala-HogtownCr-1
LW,Alachua,Hogtown Creek-2,1,Ala-HogtownCr-2
LW,Alachua,Holden Pond,1,Ala-HoldenPo-1
LW,Alachua,Holden Pond,2,Ala-HoldenPo-2
LW,Alachua,Holden Pond,3,Ala-HoldenPo-3
LW,Alachua,Holly Forest,1,Ala-HollyFor-1
LW,Alachua,Holly Forest,2,Ala-HollyFor-2
LW,Alachua,Holly Forest,3,Ala-HollyFor-3
LW,Alachua,Ironwood A,1,Ala-IronwoodA-1
LW,Alachua,Ironwood A,2,Ala-IronwoodA-2
LW,Alachua,Ironwood B,1,Ala-IronwoodB-1
LW,Alachua,Ironwood B,2,Ala-IronwoodB-2
LW,Alachua,Ironwood C,1,Ala-IronwoodC-1
LW,Alachua,Ironwood C,2,Ala-IronwoodC-2
LW,Alachua,Ironwood D,1,Ala-IronwoodD-1
LW,Alachua,Ironwood D,2,Ala-IronwoodD-2
LW,Alachua,Ironwood E,1,Ala-IronwoodE-1
LW,Alachua,Ironwood E,2,Ala-IronwoodE-2
LW,Alachua,Ironwood F,1,Ala-IronwoodF-1
LW,Alachua,Ironwood F,2,Ala-IronwoodF-2
LW,Alachua,Ironwood G,1,Ala-IronwoodG-1
LW,Alachua,Ironwood G,2,Ala-IronwoodG-2
LW,Alachua,Ironwood H,1,Ala-IronwoodH-1
LW,Alachua,Ironwood H,2,Ala-IronwoodH-2
LW,Alachua,Jeffords,1,Ala-Jeffords-1
LW,Alachua,Jeffords,2,Ala-Jeffords-2
LW,Alachua,Jeffords,3,Ala-Jeffords-3
LW,Alachua,Johnson Pond,1,Ala-JohnsonP-1
LW,Alachua,Johnson Pond,2,Ala-JohnsonP-2
LW,Alachua,Johnson Pond,3,Ala-JohnsonP-3
LW,Alachua,Jonesville Quarry,1,Ala-JonesvilleQu-1
LW,Alachua,Jonesville Quarry,2,Ala-JonesvilleQu-2
LW,Alachua,Jonesville Quarry,3,Ala-JonesvilleQu-3
LW,Alachua,Kingswood,1,Ala-Kingswood-1
LW,Alachua,Kingswood,2,Ala-Kingswood-2
LW,Alachua,Kingswood,3,Ala-Kingswood-3
LW,Alachua,Lakes Pond,1,Ala-LakesPD-1
LW,Alachua,Lakes Pond,2,Ala-LakesPD-2
LW,Alachua,Lakes Pond,3,Ala-LakesPD-3
LW,Alachua,Little Orange,1,Ala-LittleOr-1
LW,Alachua,Little Orange,2,Ala-LittleOr-2
LW,Alachua,Little Orange,3,Ala-LittleOr-3
LW,Alachua,Little Santa Fe,1,Ala-LittleSa-1
LW,Alachua,Little Santa Fe,2,Ala-LittleSa-2
LW,Alachua,Little Santa Fe,3,Ala-LittleSa-3
LW,Alachua,Lochloosa,1,Ala-Lochloosa-1
LW,Alachua,Lochloosa,2,Ala-Lochloosa-2
LW,Alachua,Lochloosa,3,Ala-Lochloosa-3
LW,Alachua,Lochloosa,4,Ala-Lochloosa-4
LW,Alachua,Magnesia Springs,1,Ala-Ma-Springs
LW,Alachua,Melrose Bay,1,Ala-MelroseB-1
LW,Alachua,Melrose Bay,2,Ala-MelroseB-2
LW,Alachua,Melrose Bay,3,Ala-MelroseB-3
LW,Alachua,Melrose Bay-beach sample,1,
LW,Alachua,Melrose Bay-special 11:15 AM,1,
LW,Alachua,Melrose Bay-special 4:15 PM,1,
LW,Alachua,Melrose Bay-special 8:15 AM,1,
LW,Alachua,Meta,1,Ala-Meta-1
LW,Alachua,Meta,2,Ala-Meta-2
LW,Alachua,Meta,3,Ala-Meta-3
LW,Alachua,Mize,1,Ala-Mize-1
LW,Alachua,Mize,2,Ala-Mize-2
LW,Alachua,Mize,3,Ala-Mize-3
LW,Alachua,Mize-1 meter,1,Ala-Mize-1 me-1
LW,Alachua,Mize-15 meters,1,Ala-Mize-15 m-1
LW,Alachua,Mize-16 meters,1,Ala-Mize-16 m-1
LW,Alachua,Mize-18 meters,1,Ala-Mize-18 m-1
LW,Alachua,Mize-21 meters,1,Ala-Mize-21 m-1
LW,Alachua,Mize-22 meters,1,Ala-Mize-22 m-1
LW,Alachua,Mize-23 meters,1,Ala-Mize-23 m-1
LW,Alachua,Mize-24 meters,1,Ala-Mize-24 m-1
LW,Alachua,Mize-3 meters,1,Ala-Mize-3 me-1
LW,Alachua,Mize-4 meters,1,Ala-Mize-4 me-1
LW,Alachua,Moon,1,Ala-Moon-1
LW,Alachua,Moon,2,Ala-Moon-2
LW,Alachua,Moon,3,Ala-Moon-3
LW,Alachua,Moss,1,Ala-Moss-1
LW,Alachua,Moss,2,Ala-Moss-2
LW,Alachua,Moss,3,Ala-Moss-3
LW,Alachua,Newnan,1,Ala-Newnan-1
LW,Alachua,Newnan,2,Ala-Newnan-2
LW,Alachua,Newnan,3,Ala-Newnan-3
LW,Alachua,Newnan-Palm Point,1,
LW,Alachua,Orange,1,Ala-Orange-1
LW,Alachua,Orange,2,Ala-Orange-2
LW,Alachua,Orange,3,Ala-Orange-3
LW,Alachua,Orange,4,Ala-Orange-4
LW,Alachua,Orange-special sample,1,
LW,Alachua,Orange-special sample,2,
LW,Alachua,Orange-special sample,3,
LW,Alachua,Paraners Branch-1,1,Ala-Para-Br-1
LW,Alachua,Paraners Branch-2,1,Ala-Para-Br-2
LW,Alachua,Paraners Branch-3,1,Ala-Para-Br-3
LW,Alachua,Potano Ponds,1,Ala-PotanoPds-1
LW,Alachua,Potano Ponds,2,Ala-PotanoPds-2
LW,Alachua,Potano Ponds,3,Ala-PotanoPds-3
LW,Alachua,Santa Fe,1,Ala-SantaFe-1
LW,Alachua,Santa Fe,2,Ala-SantaFe-2
LW,Alachua,Santa Fe,3,Ala-SantaFe-3
LW,Alachua,Santa Fe River Rise-1,1,Ala-SaFeRise-1
LW,Alachua,Santa Fe River Sink-1,1,Ala-SaFeSink-1
LW,Alachua,Santa Fe River Sink-2,1,Ala-SaFeSink-2
LW,Alachua,Santa Fe-barricade,1,Ala-SantaFbar-1
LW,Alachua,Santa Fe-Black Lake discharge,1,Ala-SantaFeBD-1
LW,Alachua,Santa Fe-canal barrier,1,Ala-SantaFecb-1
LW,Alachua,Santa Fe-canal mouth,1,Ala-SantaFecm-1
LW,Alachua,Santa Fe-Lil' Champ,1,Ala-SantaFeLC-1
LW,Alachua,Santa Fe-Painter Canal,1,Ala-SantaFePC-1
LW,Alachua,Surya Kund,1,Ala-SuryaKund-1
LW,Alachua,Surya Kund,2,Ala-SuryaKund-2
LW,Alachua,Surya Kund,3,Ala-SuryaKund-3
LW,Alachua,Turkey Creek-1,1,Ala-TurkeyC-1-1
LW,Alachua,Turkey Creek-2,1,Ala-TurkeyC-2-1
LW,Alachua,Watermelon Pond,1,Ala-Watermelo-1
LW,Alachua,Watermelon Pond,2,Ala-Watermelo-2
LW,Alachua,Watermelon Pond,3,Ala-Watermelo-3
LW,Alachua,Wauberg,1,Ala-Wauberg-1
LW,Alachua,Wauberg,2,Ala-Wauberg-2
LW,Alachua,Wauberg,3,Ala-Wauberg-3
LW,Bay,Beatty Bayou-1,1,Bay-Beatty-Bayou-1
LW,Bay,Burnt Mill Lower,1,Bay-Burnt M-1L
LW,Bay,Burnt Mill Upper,1,Bay-Burnt M-1U
LW,Bay,Burnt Mill Upper-2,1,Bay-Burnt-Mill-Upper-2
LW,Bay,Callaway Bayou,1,Bay-CallawayB-1
LW,Bay,Callaway Bayou-2,1,Bay-CallawayB-2
LW,Bay,Crooked Lower,1,Bay-Crooked L-1
LW,Bay,Crooked Upper,1,Bay-Crooked U-1
LW,Bay,Crooked Upper-2,1,Bay-Crooked-Upper-2
LW,Bay,Deer Point,1,Bay-DeerPoin-1
LW,Bay,Deer Point,2,Bay-DeerPoin-2
LW,Bay,Deer Point,3,Bay-DeerPoin-3
LW,Bay,East Bay-1,1,Bay-Ea-stBay-1
LW,Bay,East Bay-2,1,Bay-Ea-stBay-2
LW,Bay,East Bay-3,1,Bay-Ea-stBay-3
LW,Bay,East Bay-4,1,Bay-Ea-stBay-4
LW,Bay,East Bay-5,1,Bay-Ea-stBay-5
LW,Bay,Fannin Bayou-1,1,Bay-Fannin-Bayou-1
LW,Bay,Fox Pond,1,Bay-FoxPond-1
LW,Bay,Goose Bayou-1,1,Bay-Goose-Bayou-1
