Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total_Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org_Result_Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Citrus,Crystal River-7,1,10/24/23,1:00:00 PM,EDT,0.5,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Sarasota,Upper Myakka,1,11/27/23,9:11:00 AM,EST,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Sarasota,Upper Myakka,2,11/27/23,9:26:00 AM,EST,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Pinellas,Saundra,2,12/10/23,9:48:00 AM,EST,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Pinellas,Saundra,3,12/10/23,9:58:00 AM,EST,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Osceola,Center,3,10/18/23,10:30:00 AM,EDT,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Osceola,Center,2,10/18/23,10:36:00 AM,EDT,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Osceola,Center,1,10/18/23,10:45:00 AM,EDT,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,0.8,ft,FDEP FT1700,,,,,,,,Okaloosa,CBA GAP-2,1,9/29/23,10:52:00 AM,CST,0.8,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Charlotte,LC-3,1,10/27/23,11:13:00 AM,EDT,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Seminole,Jesup North,3,12/15/23,12:37:00 PM,EDT,0.8,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,0.8,ft,FDEP FT1700,,,,,,,,Okaloosa,Bass,1,8/31/23,3:14:00 PM,CST,0.8,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Brevard,Washington,2,10/24/23,8:01:00 AM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Big Bass,1,11/8/23,8:12:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Big Bass,2,11/8/23,8:13:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Big Bass,3,11/8/23,8:14:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Little Bass,1,11/8/23,8:18:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Little Bass,2,11/8/23,8:19:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Little Bass,3,11/8/23,8:20:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Gaskin's Cut,1,11/8/23,8:23:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Gaskin's Cut,2,11/8/23,8:24:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Gaskin's Cut,3,11/8/23,8:25:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Boca Cove,1,11/8/23,8:28:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Boca Cove,2,11/8/23,8:29:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Boca Cove,3,11/8/23,8:30:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Flora,1,11/8/23,8:30:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Flora,2,11/8/23,8:31:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Polk,Flora,3,11/8/23,8:32:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Pinellas,Saundra,1,11/10/23,8:33:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,3,10/24/23,8:35:00 AM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Pinellas,Saundra,2,11/10/23,8:41:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,1,ft,FDEP FT1700,,,,,,,,Leon,Munson,4,11/4/23,8:45:00 AM,EST,1,ft,,,,S,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Pinellas,Saundra,3,11/10/23,8:49:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Indian River,Blue Cypress,2,10/24/23,8:52:00 AM,EDT,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,5.3,ft,FDEP FT1700,,,,,,,,Pinellas,Saundra,1,1/10/24,9:13:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,5.5,ft,FDEP FT1700,,,,,,,,Pinellas,Saundra,2,1/10/24,9:18:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,4,ft,FDEP FT1700,,,,,,,,Pinellas,Saundra,3,1/10/24,9:28:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Pinellas,Saundra,1,12/10/23,9:44:00 AM,EST,1,ft,,,,,,Actual,
"Depth, Secchi Disk Depth",Field,Field Testing-Discrete,Misc Field Device,,,,,FDEP FT1700,,,,,,,,Osceola,Coon,1,10/18/23,10:00:00 AM,EDT,1,ft,,,,,,Actual,
