Total_Depth,Total_Depth_Unit,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Org_Result_Value,Org_Result_Unit,Result_Comments,WIN_Value_Qualifier,Data_Category,Run_ID,Study,Comments
,ft,,,MBLK1,,,,,ft,,,QAQC,SECCHI10142025,,
9.3,ft,Collier,IFAS Collier Pond,1,07/21/2025,11:22:00 AM,EST,8.8,ft,,,Sample,SECCHI10142025,,
6.5,ft,Collier,IFAS Collier Pond,2,07/21/2025,11:32:00 AM,EST,,ft,Weeds,,Sample,SECCHI10142025,,
10.5,ft,Collier,IFAS Collier Pond,3,07/21/2025,11:35:59 AM,EST,10.5,ft,,S,Sample,SECCHI10142025,,
9.8,ft,Collier,IFAS Collier Pond,1,08/20/2025,11:37:00 AM,EST,9.8,ft,,S,Sample,SECCHI10142025,,
7.8,ft,Collier,IFAS Collier Pond,2,08/20/2025,11:41:00 AM,EST,,ft,Weeds,,Sample,SECCHI10142025,,
8,ft,Collier,IFAS Collier Pond,3,08/20/2025,11:46:00 AM,EST,,ft,Weeds,,Sample,SECCHI10142025,,
11.8,ft,Collier,Islandwalk,1,07/16/2025,09:44:00 AM,EST,3,ft,,,Sample,SECCHI10142025,,
7.3,ft,Collier,Islandwalk,2,07/16/2025,09:36:00 AM,EST,3.3,ft,,,Sample,SECCHI10142025,,
9,ft,Collier,Islandwalk,3,07/16/2025,09:20:59 AM,EST,4,ft,,,Sample,SECCHI10142025,,
7,ft,Collier,Islandwalk,8,07/16/2025,10:04:00 AM,EST,4.3,ft,,,Sample,SECCHI10142025,,
14.5,ft,Collier,Saddlebrook,1,06/30/2025,10:42:00 AM,EST,4.5,ft,,,Sample,SECCHI10142025,,
9.8,ft,Collier,Saddlebrook,2,06/30/2025,10:54:00 AM,EST,3.8,ft,,,Sample,SECCHI10142025,,
13.3,ft,Collier,Saddlebrook,3,06/30/2025,11:01:00 AM,EST,4.5,ft,,,Sample,SECCHI10142025,,
