ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Analysis Method,Sample Fraction,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Activity Start Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value Qualifier,Result Comments,Result Value Type Name,Dilution
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Alice,1,01/25/2024,,EST,360,ug/L,20,60,ug/L,,,,
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Alice,2,01/25/2024,,EST,340,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Alice,3,01/25/2024,,EST,340,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,1,11/21/2023,,,590,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,2,11/21/2023,,,590,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,3,11/21/2023,,,600,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,1,12/18/2023,,,500,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,2,12/18/2023,,,490,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,3,12/18/2023,,,420,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,11/28/2023,1:10:00 PM,EST,12/04/2023,12:18:00 PM,EST,Alachua,Blues Creek-1,1,11/08/2023,,,340,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Blues Creek-1,1,12/06/2023,,,470,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Blues Creek-1,1,01/26/2024,,EST,400,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,11/28/2023,1:10:00 PM,EST,12/04/2023,12:18:00 PM,EST,Alachua,Blues Creek-2,1,11/08/2023,,,710,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Blues Creek-2,1,12/06/2023,,,800,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Blues Creek-2,1,01/26/2024,,EST,800,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,11/28/2023,1:10:00 PM,EST,12/04/2023,12:18:00 PM,EST,Alachua,Blues Creek-3,1,11/08/2023,,,500,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Blues Creek-3,1,12/06/2023,,,1100,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Blues Creek-3,1,01/26/2024,,EST,730,ug/L,20,60,ug/L,,,Actual,5
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/15/2024,11:57:00 AM,EST,Alachua,Cellon Creek-1,1,01/24/2024,,EST,2320,ug/L,20,60,ug/L,,,Actual,5
