Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alice,1,7/30/25,562,1,1.3529,1353,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alice,2,7/30/25,563,1,1.1191,1119,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alice,3,7/30/25,564,1,1.2632,1263,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alto,1,6/19/25,565,1,0.598,598,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alto,2,6/19/25,566,1,0.6155,616,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alto,3,6/19/25,567,1,0.6136,614,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alto,1,8/21/25,568,1,0.5502,550,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alto,2,8/21/25,569,1,0.5502,550,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Alto,3,8/21/25,570,1,0.5788,579,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Blues Creek-1,1,6/10/25,571,5,0.0445,223,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Blues Creek-1,1,8/11/25,574,5,0.1094,547,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Blues Creek-2,1,6/10/25,572,5,0.1047,524,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Blues Creek-2,1,8/11/25,575,5,0.2648,1324,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Blues Creek-3,1,6/10/25,573,5,0.13,650,,,,,,Sample,TN09052025A09182025,,
9/5/25,9:29:59 AM,EST,9/18/25,3:37:00 PM,EST,Alachua,Blues Creek-3,1,8/11/25,576,5,0.2566,1283,,,,,,Sample,TN09052025A09182025,,
