Org_Analyte_Name,Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Comments
Nitrogen- Total,09/20/2023,12:00:00 PM,EDT,09/27/2023,12:32:00 PM,EDT,Brevard,IRL Max Brewer Bridge-4,1,06/07/2023,,,,860,,,,,,,,
Nitrogen- Total,09/20/2023,12:00:00 PM,EDT,09/27/2023,12:32:00 PM,EDT,Brevard,IRL Max Brewer Bridge-4,1,08/18/2023,,,,1480,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Charlotte,White Marsh Inflow,1,04/21/2023,,,,690,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Charlotte,White Marsh Inflow,2,04/21/2023,,,,930,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Charlotte,White Marsh Inflow,3,04/21/2023,,,,640,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Collier,Islandwalk,1,04/07/2023,,,,590,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Collier,Islandwalk,2,04/07/2023,,,,670,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Collier,Islandwalk,3,04/07/2023,,,,700,,,,,,,,
Nitrogen- Total,07/18/2023,1:15:00 PM,EDT,07/21/2023,12:14:00 PM,EDT,Collier,Islandwalk,8,04/07/2023,,,,650,,,,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,10/19/2022,,,,700,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,03/02/2023,,,,720,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,04/12/2023,,,,730,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,05/04/2023,,,,730,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,06/06/2023,,,,710,,,,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-1,1,07/06/2023,,,,690,,,,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,10/19/2022,,,,680,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,03/02/2023,,,,670,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,04/12/2023,,,,720,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,06/06/2023,,,,680,,,,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-2,1,07/06/2023,,,,700,,,,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,10/19/2022,,,,680,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,03/02/2023,,,,660,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,04/12/2023,,,,570,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,05/04/2023,,,,690,,,Q,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,06/06/2023,,,,670,,,,,,,,
Nitrogen- Total,10/10/2023,9:40:00 AM,EDT,10/11/2023,12:06:00 PM,EDT,Columbia,Lower Ichetucknee River-3,1,07/06/2023,,,,590,,,,,,,,
Nitrogen- Total,08/18/2023,9:15:00 AM,EDT,08/22/2023,9:29:00 AM,EDT,Hillsborough,Cypress Creek-122,1,05/30/2023,,,,320,,,,,,,,
Nitrogen- Total,08/18/2023,9:15:00 AM,EDT,08/22/2023,9:29:00 AM,EDT,Hillsborough,Cypress Creek-122,2,05/30/2023,,,,540,,,,,,,,
Nitrogen- Total,08/08/2023,9:45:00 AM,EDT,08/10/2023,12:14:00 PM,EDT,Hillsborough,Cypress Creek-122,1,06/27/2023,,,,480,,,,,,,,
Nitrogen- Total,08/08/2023,9:45:00 AM,EDT,08/10/2023,12:14:00 PM,EDT,Hillsborough,Cypress Creek-122,2,06/27/2023,,,,380,,,,,,,,
Nitrogen- Total,09/08/2023,1:15:00 PM,EDT,09/13/2023,12:21:00 PM,EDT,Hillsborough,Cypress Creek-122,1,07/24/2023,,,,1080,,,,,,,,
Nitrogen- Total,09/08/2023,1:15:00 PM,EDT,09/13/2023,12:21:00 PM,EDT,Hillsborough,Cypress Creek-122,2,07/24/2023,,,,1020,,,,,,,,
Nitrogen- Total,09/20/2023,9:50:00 AM,EDT,09/21/2023,11:49:00 AM,EDT,Hillsborough,White Trout,1,08/22/2023,,,,600,,,,,,,,
Nitrogen- Total,09/20/2023,9:50:00 AM,EDT,09/21/2023,11:49:00 AM,EDT,Hillsborough,White Trout,2,08/22/2023,,,,520,,,,,,,,
Nitrogen- Total,09/20/2023,9:50:00 AM,EDT,09/21/2023,11:49:00 AM,EDT,Hillsborough,White Trout,3,08/22/2023,,,,500,,,,,,,,
Nitrogen- Total,08/08/2023,9:45:00 AM,EDT,08/10/2023,12:14:00 PM,EDT,Hillsborough,Zambito East,3,06/24/2023,,,,900,,,,,,,,
Nitrogen- Total,08/08/2023,1:20:00 PM,EDT,08/14/2023,12:58:00 PM,EDT,Marion,Silver River-1,1,06/06/2023,,,,840,,,,,,,,
Nitrogen- Total,08/08/2023,1:20:00 PM,EDT,08/14/2023,12:58:00 PM,EDT,Marion,Silver River-2,1,06/06/2023,,,,850,,,,,,,,
Nitrogen- Total,08/08/2023,1:20:00 PM,EDT,08/14/2023,12:58:00 PM,EDT,Marion,Silver River-3,1,06/06/2023,,,,1370,,,,,,,,
Nitrogen- Total,08/08/2023,1:20:00 PM,EDT,08/14/2023,12:58:00 PM,EDT,Marion,Silver River-4,1,06/06/2023,,,,1330,,,,,,,,
Nitrogen- Total,09/20/2023,12:00:00 PM,EDT,09/27/2023,12:32:00 PM,EDT,Monroe,Cudjoe-11,1,08/20/2023,,,,930,,,,,,,,
Nitrogen- Total,08/16/2023,1:00:00 PM,EDT,08/22/2023,9:29:00 AM,EDT,Okaloosa,CBA GAP-1,1,06/01/2023,,,,290,,,,,,,,
