Org_Analyte_Name,Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Comments
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Alice,1,08/01/2028,402,1,0.8924,892,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Alice,2,08/01/2028,403,1,1.02,1020,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Alice,3,08/01/2028,404,1,0.8445,844,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Alto,2,05/17/2028,3,1,0.5338,534,,,Q,Q,,Sample,TN06272024A07022024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Alto,3,05/17/2028,4,1,0.5662,566,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Alto,1,06/18/2028,482,1,0.4996,500,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Alto,2,06/18/2028,483,1,0.6144,614,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Alto,3,06/18/2028,484,1,0.5628,563,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Alto,1,07/20/2028,485,1,0.5995,599,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Alto,2,07/20/2028,486,1,0.5193,519,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Alto,3,07/20/2028,487,1,0.5345,534,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Alto,1,08/23/2028,814,1,0.6336,634,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Alto,2,08/23/2028,815,1,0.5973,597,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Alto,3,08/23/2028,816,1,0.6436,644,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Alto,1,09/24/2028,817,1,0.7136,714,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Alto,2,09/24/2028,818,1,0.6887,689,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Alto,3,09/24/2028,819,1,0.687,687,,,,,,Sample,TN10252024B10312024,
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Blues Creek-1,1,05/14/2028,5,5,0.0885,442,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Blues Creek-1,1,06/12/2028,795,5,0.0745,372,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Blues Creek-1,1,07/16/2028,405,5,0.0765,382,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Blues Creek-1,1,08/15/2028,488,5,0.3065,1532,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,11/07/2028,9:00:00 AM,EST,11/13/2028,,EST,Alachua,Blues Creek-1,1,09/10/2028,,5,0.1176,588,,J,,,,Sample,TN11062024A11122024,
Total Nitrogen,11/07/2028,9:00:00 AM,EST,11/13/2028,,EST,Alachua,Blues Creek-1,1,09/10/2028,,5,0.1016,508,,J,,,,Sample,TN11062024B11122024,10-25B
Total Nitrogen,06/28/2028,9:00:00 AM,EDT,07/02/2028,12:00:00 PM,EDT,Alachua,Blues Creek-2,1,05/14/2028,6,5,0.091,455,,,,,,Sample,TN06272024A07022024,
Total Nitrogen,07/10/2028,9:00:00 AM,EDT,07/17/2028,,EDT,Alachua,Blues Creek-2,1,06/12/2028,796,5,0.1281,640,,,,,,Sample,TN07092024A07162024,
Total Nitrogen,08/16/2028,9:00:00 AM,EDT,08/22/2028,,EDT,Alachua,Blues Creek-2,1,07/16/2028,406,5,0.112,560,,,,,,Sample,TN08152024A08212024,
Total Nitrogen,09/05/2028,9:30:00 AM,EDT,09/07/2028,12:00:00 PM,EDT,Alachua,Blues Creek-2,1,08/15/2028,489,5,0.0995,497,,,,,,Sample,TN09042024A09062024,
Total Nitrogen,10/26/2028,9:00:00 AM,EDT,11/01/2028,,EDT,Alachua,Blues Creek-2,1,09/10/2028,821,5,0.2468,1234,,,,,,Sample,TN10252024B10312024,
