ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Analysis Method,Sample Fraction,Preparation Date,Preparation Time,Preparation Time Zone,Analysis Date,Analysis Time,Analysis Time Zone,County,Lake,Station,Activity Start Date,Activity Start Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value Qualifier,Result Comments,Result Value Type Name,Dilution
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Alice,1,01/25/2024,,EST,402,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Alice,2,01/25/2024,,EST,434,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Alice,3,01/25/2024,,EST,415,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,1,11/21/2023,,,15,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,2,11/21/2023,,,20,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,3,11/21/2023,,,15,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,1,12/18/2023,,,15,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,2,12/18/2023,,,14,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Alto,3,12/18/2023,,,17,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,11/28/2023,1:10:00 PM,EST,12/01/2023,8:39:00 AM,EST,Alachua,Blues Creek-1,1,11/08/2023,,,307,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Blues Creek-1,1,12/06/2023,,,395,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Blues Creek-1,1,01/26/2024,,EST,327,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,11/28/2023,1:10:00 PM,EST,12/01/2023,8:39:00 AM,EST,Alachua,Blues Creek-2,1,11/08/2023,,,777,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Blues Creek-2,1,12/06/2023,,,700,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Blues Creek-2,1,01/26/2024,,EST,418,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,11/28/2023,1:10:00 PM,EST,12/01/2023,8:39:00 AM,EST,Alachua,Blues Creek-3,1,11/08/2023,,,496,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Blues Creek-3,1,12/06/2023,,,634,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Blues Creek-3,1,01/26/2024,,EST,380,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Cellon Creek-1,1,01/24/2024,,EST,926,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Cellon Creek-2,1,12/06/2023,,,1407,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Cellon Creek-2,1,01/24/2024,,EST,1547,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,11/28/2023,1:10:00 PM,EST,12/01/2023,8:39:00 AM,EST,Alachua,Cellon Creek-3,1,11/08/2023,,,649,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Cellon Creek-3,1,12/06/2023,,,695,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Cellon Creek-3,1,01/24/2024,,EST,2421,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,11/28/2023,1:10:00 PM,EST,12/01/2023,8:39:00 AM,EST,Alachua,Cellon Creek-4,1,11/08/2023,,,338,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/09/2024,11:00:00 AM,EST,01/10/2024,12:39:00 PM,EST,Alachua,Cellon Creek-4,1,12/06/2023,,,415,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TN,Total,02/09/2024,9:25:00 AM,EST,02/12/2024,12:14:00 PM,EST,Alachua,Cellon Creek-4,1,01/24/2024,,EST,2348,ug/L,6,19,ug/L,,,Actual,5
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,12/05/2023,9:45:00 AM,EST,12/06/2023,12:39:00 PM,EST,Alachua,Elizabeth,1,09/30/2023,,,13,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,12/05/2023,9:45:00 AM,EST,12/06/2023,12:39:00 PM,EST,Alachua,Elizabeth,2,09/30/2023,,,9,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,12/05/2023,9:45:00 AM,EST,12/06/2023,12:39:00 PM,EST,Alachua,Elizabeth,3,09/30/2023,,,14,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,LAKEWATCH-TP,Total,01/23/2024,10:30:00 AM,EST,01/24/2024,12:49:00 PM,EST,Alachua,Elizabeth,1,10/30/2023,,,15,ug/L,6,19,ug/L,I,,Actual,1
