Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,,,MBLK1,,1441,1,0.012,3,,,QTI,Q,TI,QAQC,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Charles,1,8/26/25,1442,1,0.171,63,,,,,,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Charles,2,8/26/25,1443,1,0.216,80,,,,,,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Charles,3,8/26/25,1444,1,0.171,63,,,,,,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Halfmoon,1,6/26/25,1445,1,0.028,9,,,I,,I,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Halfmoon,2,6/26/25,1446,1,0.026,9,,,I,,I,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Halfmoon,3,6/26/25,1447,1,0.024,8,,,I,,I,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Little Weir,1,9/5/25,1448,1,0.032,11,,,I,,I,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Little Weir,2,9/5/25,1449,1,0.027,9,,,I,,I,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Little Weir,3,9/5/25,1450,1,0.031,10,,,I,,I,Sample,TP1015202510222025,,
10/15/25,12:59:59 PM,EST,10/22/25,10:46:00 AM,EST,Marion,Rainbow River-2,1,8/1/25,1451,1,0.028,9,,,I,,I,Sample,TP1015202510222025,,
