Org_Analyte_Name,Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Comments
Phosphorus- Total,6/11/24,10:00:00 AM,EDT,6/13/24,1:38:00 PM,EDT,Alachua,Alto,1,4/19/24,,1,,16,,,I,,,,,
Phosphorus- Total,6/11/24,10:00:00 AM,EDT,6/13/24,1:38:00 PM,EDT,Alachua,Alto,2,4/19/24,,1,,10,,,I,,,,,
Phosphorus- Total,6/11/24,10:00:00 AM,EDT,6/13/24,1:38:00 PM,EDT,Alachua,Alto,3,4/19/24,,1,,13,,,I,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Blues Creek-1,1,4/15/24,,5,,597,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Blues Creek-2,1,4/15/24,,5,,329,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Blues Creek-3,1,4/15/24,,5,,371,,,,,,,,
Phosphorus- Total,3/6/24,12:20:00 PM,EST,3/8/24,8:26:00 AM,EST,Alachua,Cellon Creek-1,1,2/9/24,,5,,1078,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Cellon Creek-1,1,4/15/24,,5,,1013,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Cellon Creek-2,1,4/15/24,,5,,1053,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Cellon Creek-3,1,4/15/24,,5,,976,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Cellon Creek-4,1,4/15/24,,5,,718,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Deer Run-1,1,4/15/24,,1,,829,,,,,,,,
Phosphorus- Total,5/8/24,10:00:00 AM,EDT,5/14/24,1:14:00 PM,EDT,Alachua,Deer Run-2,1,4/15/24,,1,,906,,,,,,,,
Phosphorus- Total,6/14/24,1:00:00 PM,EDT,6/17/24,10:18:00 AM,EDT,Alachua,Elizabeth,1,4/30/24,,1,,11,,,I,,,,,
