Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(PCU),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,Powell Creek East-1,1,4/2/25,,1,0.051,40,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,Powell Creek East-2,1,4/2/25,,2,0.137,212,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,Pretty Bayou-1,1,4/9/25,,1,0.025,20,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,Robinson Bayou-1,1,4/9/25,,1,0.035,27,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,St. Andrew Bay-1,1,4/29/25,,1,0.008,7,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,St. Andrew Bay-2,1,4/29/25,,1,0.005,4,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,St. Andrew Bay-3,1,4/29/25,,1,0.007,6,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,St. Andrew Bay-6,1,4/28/25,,1,0.008,7,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,St. Andrew Bay-7,1,4/28/25,,1,0.001,1,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,St. Andrew Bay-12,1,4/28/25,,1,0.005,4,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,Upper Goose Bayou-1,1,4/9/25,,1,0.022,18,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,Warren Bayou-1,1,4/14/25,,1,0.021,17,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,West Bay-1,1,4/14/25,,1,0.02,16,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,West Bay-2,1,4/14/25,,1,0.019,15,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,West Bay-3,1,4/14/25,,1,0.023,18,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,West Bay-4,1,4/14/25,,1,0.016,13,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,West Bay-5,1,4/14/25,,1,0.014,11,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Bay,West Bay-12,1,4/14/25,,1,0.029,23,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,,,ALTQC1,,,1,0.023,18,,,Q,Q,,QAQC,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-1,1,1/29/25,,1,0.009,8,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-2,1,1/29/25,,1,0.006,5,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-3,1,1/29/25,,1,0.009,8,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-4,1,1/29/25,,1,0.008,7,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-5,1,1/29/25,,1,0.007,6,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-6,1,1/29/25,,1,0.01,8,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-7,1,1/29/25,,1,0.007,6,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-8,1,1/29/25,,1,0.02,16,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Gulf,St. Joseph Bay-9,1,1/29/25,,1,0.007,6,,,Q,Q,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Lake,Palatlakaha,1,4/14/25,,4,0.153,472,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Lake,Royal,1,4/7/25,,1,0.039,31,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Lake,Winona,1,4/14/25,,2,0.114,176,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Anderson Cue,1,5/13/25,,1,0.017,14,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Anderson Cue,2,5/13/25,,1,0.01,8,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Anderson Cue,3,5/13/25,,1,0.008,7,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Barco,1,5/13/25,,1,0.008,7,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Barco,2,5/13/25,,1,0.008,7,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Barco,3,5/13/25,,1,0.008,7,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Enslow,1,5/13/25,,1,0.029,23,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,,,ALTQC2,,,1,0.022,18,,,Q,Q,,QAQC,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Enslow,2,5/13/25,,1,0.031,24,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Enslow,3,5/13/25,,1,0.034,27,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Goose,1,5/14/25,,4,0.106,328,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Goose,2,5/14/25,,4,0.117,362,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Goose,3,5/14/25,,4,0.107,331,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,McCloud,1,5/13/25,,1,0.025,20,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,McCloud,2,5/13/25,,1,0.015,12,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,McCloud,3,5/13/25,,1,0.016,13,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Ross,1,5/14/25,,4,0.134,414,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Ross,2,5/14/25,,4,0.131,405,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Ross,3,5/14/25,,4,0.12,371,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Rowan,1,5/13/25,,1,0.168,130,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Rowan,2,5/13/25,,1,0.162,125,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Rowan,3,5/13/25,,1,0.165,127,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Suggs,1,5/14/25,,4,0.11,340,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Suggs,2,5/14/25,,4,0.106,328,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Putnam,Suggs,3,5/14/25,,4,0.122,377,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Highlands,Annie,1,4/16/25,,1,0.092,71,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,Highlands,Clay,1,4/26/25,,1,0.022,18,,,,,,Sample,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,,,ALTQC3,,,1,0.022,18,,,Q,Q,,QAQC,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,,,ALTQC4,,,,,1,,J,QU,Q,TI,QAQC,COL0710202507142025,,
7/10/25,2:23:00 PM,EDT,7/14/25,10:56:00 AM,EDT,,,ALTQC5,,,,,1,,J,QU,Q,TI,QAQC,COL0710202507142025,,
