Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Org_Result_Value,Org_Result_Unit,Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Bay,St. Andrew Bay-1,1,4/29/25,,1,52,mS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Bay,St. Andrew Bay-2,1,4/29/25,,1,56,mS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Bay,St. Andrew Bay-3,1,4/29/25,,1,48,mS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Bay,Watson Bayou-1,1,4/29/25,,1,43,mS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Bay,West Bay-5,1,4/14/25,,1,40,mS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,,,ALTQC1,,,1,426,uS/cm,,,Q,Q,,QAQC,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Putnam,Anderson Cue,1,5/13/25,,1,26,uS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Putnam,Anderson Cue,2,5/13/25,,1,27,uS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Putnam,Anderson Cue,3,5/13/25,,1,27,uS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Putnam,Barco,1,5/13/25,,1,27,uS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Putnam,Barco,2,5/13/25,,1,28,uS/cm,,,,,,Sample,20250710COND20250714,,
7/10/25,2:23:00 PM,EDT,7/14/25,8:08:00 AM,EDT,Putnam,Barco,3,5/13/25,,1,28,uS/cm,,,,,,Sample,20250710COND20250714,,
