Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,Blank,6/20/25,162,1,0.0057,20,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,1,6/20/25,163,1,0.3103,310,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,2,6/20/25,164,1,0.3196,320,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,3,6/20/25,165,1,0.1858,186,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,4,6/20/25,166,1,0.2636,264,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,5,6/20/25,167,1,0.2374,237,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,6,6/20/25,168,1,0.1952,195,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,7,6/20/25,169,1,0.3255,325,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,8,6/20/25,170,1,0.4013,401,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,9,6/20/25,171,1,0.6336,634,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-CRY,10,6/20/25,172,1,0.4832,483,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,1,6/19/25,173,1,0.5023,502,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,2,6/19/25,174,1,0.5587,559,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,3,6/19/25,175,1,0.3292,329,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,4,6/19/25,176,1,0.5359,536,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,5,6/19/25,177,1,0.3317,332,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,6,6/19/25,178,1,0.4708,471,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,7,6/19/25,179,1,0.5132,513,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,8,6/19/25,180,1,0.6433,643,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,9,6/19/25,181,1,0.6902,690,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-HOM,10,6/19/25,187,1,0.7114,711,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-WIT,Blank,6/6/25,188,1,0.0078,20,,,U,,TI,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-WIT,1,6/6/25,189,1,0.4802,480,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-WIT,2,6/6/25,190,1,0.7138,714,,,,,,Sample,TN0627202507102025,,
6/27/25,8:30:00 AM,EST,7/10/25,2:33:59 PM,EST,Citrus,CIT-WIT,3,6/6/25,191,1,0.8507,851,,,,,,Sample,TN0627202507102025,,
