Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Magdalene,1,4/25/24,1042,1,0.038,16,,,QI,Q,I,QAQC,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Magdalene,2,4/25/24,1043,1,0.038,16,,,QI,Q,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Magdalene,3,4/25/24,1044,1,0.044,18,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Newlands,1,4/25/24,1045,1,0.193,73,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Newlands,2,4/25/24,1046,1,0.208,78,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Newlands,3,4/25/24,1047,1,0.182,69,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,North Pond,1,4/7/24,1048,1,0.243,91,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,North Pond,2,4/7/24,1049,1,0.248,93,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,North Pond,3,4/7/24,1050,1,0.209,79,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Osceola,1,4/6/24,1051,1,0.041,17,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Osceola,2,4/6/24,1052,1,0.036,15,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Osceola,3,4/6/24,1053,1,0.035,15,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Platt,1,4/20/24,1054,1,0.05,20,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Platt,2,4/20/24,1055,1,0.054,22,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Platt,3,4/20/24,1056,1,0.057,23,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Pine,1,4/21/24,1057,1,0.062,25,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Pine,2,4/22/24,1058,1,0.059,24,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Pine,3,4/23/24,1059,1,0.056,23,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Strawberry,1,4/28/24,1060,1,0.07,28,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Strawberry,2,4/28/24,1061,1,0.064,26,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,Strawberry,3,4/28/24,1067,1,0.053,22,,,,,,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,White Trout,1,4/16/24,1068,1,0.03,13,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,White Trout,2,4/16/24,1069,1,0.029,13,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Hillsborough,White Trout,3,4/16/24,1070,1,0.03,13,,,I,,I,Sample,TP06272024B07022024,,
6/27/24,9:00:00 AM,EDT,7/1/24,11:01:00 AM,EDT,Polk,Arietta,1,4/13/24,1071,1,0.053,22,,,,,,Sample,TP06272024B07022024,,
