Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Activity_Start_Time,Activity_Time_Zone,Vol Filtered (L),Ethanol (ml),Tube #,750,664,647,630,750 (HCL),665 (HCL),Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
,,,01/06/2026,12:00:00 PM,EST,,,MBLK1,01/05/2026,,,1,8,1,0.005,0.005,0.004,0.005,0.005,0.005,0,,,TI,,TI,QAQC,CHLU0105202601062026,Project Coast,
12/03/2025,09:25:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,1,12/03/2025,09:23:00 AM,EST,0.5,8,2,0.005,0.018,0.01,0.009,0.002,0.012,2,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,09:11:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,2,12/03/2025,09:09:00 AM,EST,0.5,8,3,0.009,0.028,0.016,0.014,0.007,0.022,3,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,08:54:59 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,3,12/03/2025,08:53:00 AM,EST,0.5,8,4,0.004,0.02,0.009,0.008,0.005,0.017,3,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,08:31:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,4,12/03/2025,08:29:00 AM,EST,0.5,8,5,0.004,0.046,0.018,0.014,0.001,0.03,8,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,09:39:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,5,12/03/2025,09:37:00 AM,EST,0.5,8,6,0.004,0.009,0.006,0.005,0.002,0.007,1,,,U,,U,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,09:54:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,6,12/03/2025,09:52:00 AM,EST,0.5,8,7,0.004,0.011,0.007,0.007,0.004,0.007,1,,,U,,U,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,03:51:00 PM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,7,12/03/2025,03:49:00 PM,EST,0.5,8,8,0.007,0.017,0.011,0.01,0.01,0.014,2,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,10:11:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,8,12/03/2025,10:09:00 AM,EST,0.5,8,9,0.002,0.009,0.006,0.006,0.002,0.005,1,,,U,,U,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,03:13:00 PM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,9,12/03/2025,03:11:00 PM,EST,0.5,8,10,0.011,0.03,0.019,0.019,0.012,0.027,3,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/03/2025,03:33:00 PM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-CRY,10,12/03/2025,03:31:00 PM,EST,0.5,8,11,0.007,0.023,0.014,0.013,0.007,0.015,3,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,09:27:59 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,1,12/04/2025,09:26:00 AM,EST,0.5,8,12,0.007,0.014,0.011,0.011,0.007,0.01,1,,,U,,U,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,09:41:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,2,12/04/2025,09:39:00 AM,EST,0.25,8,13,0.003,0.013,0.006,0.006,0.003,0.01,4,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,09:14:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,3,12/04/2025,09:12:00 AM,EST,0.25,8,14,0.005,0.01,0.007,0.006,0.004,0.008,2,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,08:58:59 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,4,12/04/2025,08:56:59 AM,EST,0.25,8,15,0.004,0.019,0.01,0.009,0.005,0.017,5,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,08:01:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,5,12/04/2025,07:59:00 AM,EST,0.25,8,16,0.004,0.043,0.016,0.015,0.004,0.03,14,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,09:55:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,6,12/04/2025,09:53:00 AM,EST,1,8,17,0.003,0.008,0.005,0.005,0.004,0.008,0,,,TI,,TI,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,10:12:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,7,12/04/2025,10:10:00 AM,EST,0.25,8,18,0.001,0.006,0.003,0.003,0.001,0.005,2,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,11:26:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,8,12/04/2025,11:24:00 AM,EST,0.25,8,19,0,0.009,0.004,0.003,0,0.005,3,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,10:59:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,9,12/04/2025,10:57:00 AM,EST,0.25,8,20,0.005,0.02,0.011,0.01,0.006,0.019,5,,,,,,Sample,CHLU0105202601062026,Project Coast,
12/04/2025,11:13:00 AM,EST,01/06/2026,12:00:00 PM,EST,Citrus,CIT-HOM,10,12/04/2025,11:09:59 AM,EST,0.25,8,21,0.005,0.01,0.007,0.007,0.006,0.007,2,,,,,,Sample,CHLU0105202601062026,Project Coast,
01/06/2026,,,01/06/2026,12:00:00 PM,EST,,,CCV1,01/06/2026,,,8.0000000000000002E-3,8,22,-0.002,0.011,0.001,0,0,0.008,149,,,,,,QAQC,CHLU0105202601062026,Project Coast,
