ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total_Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation_Date,Preparation_Time,Preparation Time Zone,Analysis_Date,Analysis_Time,Analysis Time Zone,County,Site,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org_Result_Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,9:54:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,1,9/23/24,9:52:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,9:42:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,2,9/23/24,9:40:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,9:29:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,3,9/23/24,9:27:00 AM,EDT,6,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,9:11:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,4,9/23/24,9:09:00 AM,EDT,7,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,10:31:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,5,9/23/24,10:29:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,10:10:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,6,9/23/24,10:10:00 AM,EDT,7,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,11:50:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,7,9/23/24,11:48:00 AM,EDT,9,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,10:51:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,8,9/23/24,10:49:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,11:04:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,9,9/23/24,11:02:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/23/24,11:34:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-CRY,10,9/23/24,11:32:00 AM,EDT,3,ug/L,1,1,ug/L,,,Actual,1
WIN-001,Chlorophyll a- corrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,9/18/24,9:43:00 AM,EDT,10/17/24,10:30:00 AM,EDT,Citrus,CIT-HOM,1,9/18/24,9:41:00 AM,EDT,5,ug/L,1,1,ug/L,,,Actual,1
