ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation_Date,Preparation_Time,Preparation Time Zone,Analysis_Date,Analysis_Time,Analysis Time Zone,County,Site,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,9:23:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,1,1/24/24,9:21:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,9:07:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,2,1/24/24,9:05:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,8:52:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,3,1/24/24,8:50:00 AM,EST,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,8:23:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,4,1/24/24,8:21:00 AM,EST,10,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,9:42:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,5,1/24/24,9:40:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,10:02:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,6,1/24/24,10:00:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,11:28:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,7,1/24/24,11:26:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,10:22:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,8,1/24/24,10:20:00 AM,EST,1,ug/L,1,1,ug/L,U,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,10:40:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,9,1/24/24,10:38:00 AM,EST,5,ug/L,1,1,ug/L,,,Actual,1
FL-BIO-004,Chlorophyll a- uncorrected,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-CHL,Total,1/24/24,11:08:00 AM,EST,1/30/24,9:00:00 AM,EST,Citrus,CIT-CRY,10,1/24/24,11:06:00 AM,EST,2,ug/L,1,1,ug/L,,,Actual,1
