ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation_Date,Preparation_Time,Preparation Time Zone,Analysis_Date,Analysis_Time,Analysis Time Zone,County,Site,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,1,3/6/24,,EST,260,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,2,3/6/24,,EST,280,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,3,3/6/24,,EST,310,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,4,3/6/24,,EST,370,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,5,3/6/24,,EST,260,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,6,3/6/24,,EST,270,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,7,3/6/24,,EST,300,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,8,3/6/24,,EST,360,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,9,3/6/24,,EST,410,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,4/4/24,10:00:00 AM,EDT,4/11/24,10:31:00 AM,EDT,Citrus,CIT-CRY,10,3/6/24,,EST,390,ug/L,20,60,ug/L,,,Atcutal,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,1/29/24,12:50:00 PM,EST,1/31/24,11:49:00 AM,EST,Citrus,CIT-CRY,1,1/24/24,,EST,230,ug/L,20,60,ug/L,,,Actual,1
FL-INORG-002,Nitrogen- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TN,Total,1/29/24,12:50:00 PM,EST,1/31/24,11:49:00 AM,EST,Citrus,CIT-CRY,2,1/24/24,,EST,270,ug/L,20,60,ug/L,,,Actual,1
