ADAPT Analyte ID,Org Analyte Name,Activity Type,Sample Collection Type,Sample Collection Equipment,Activity Depth,Activity Depth Unit,Total Depth,Total Depth Unit,Analysis Method,Sample Fraction,Preparation_Date,Preparation_Time,Preparation Time Zone,Analysis_Date,Analysis_Time,Analysis Time Zone,County,Site,Station,Activity_Start_Date,Activity_Start_Time,Activity Time Zone,Org Result Value,Org Result Unit,Org MDL,Org PQL,Org Detection Unit,Value_Qualifier,Result Comments,Result Value Type Name,Dilution
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,1,3/6/24,,EST,21,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,2,3/6/24,,EST,28,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,3,3/6/24,,EST,26,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,4,3/6/24,,EST,35,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,5,3/6/24,,EST,17,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,6,3/6/24,,EST,16,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,7,3/6/24,,EST,18,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,8,3/6/24,,EST,11,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,9,3/6/24,,EST,14,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,4/4/24,10:00:00 AM,EDT,4/9/24,12:22:00 PM,EDT,Citrus,CIT-CRY,10,3/6/24,,EST,29,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,1,1/24/24,,EST,16,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,2,1/24/24,,EST,20,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,3,1/24/24,,EST,26,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,4,1/24/24,,EST,30,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,5,1/24/24,,EST,13,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,6,1/24/24,,EST,14,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,7,1/24/24,,EST,17,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,8,1/24/24,,EST,13,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,9,1/24/24,,EST,17,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,1/29/24,12:50:00 PM,EST,1/31/24,10:23:00 AM,EST,Citrus,CIT-CRY,10,1/24/24,,EST,26,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,1,2/9/24,,EST,15,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,2,2/9/24,,EST,22,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,3,2/9/24,,EST,27,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,4,2/9/24,,EST,33,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,5,2/9/24,,EST,12,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,6,2/9/24,,EST,13,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,7,2/9/24,,EST,15,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,8,2/9/24,,EST,10,ug/L,6,19,ug/L,I,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,9,2/9/24,,EST,36,ug/L,6,19,ug/L,,,Actual,1
1910,Phosphorus- Total,Sample,Direct Grab,Water Bottle,0.3,m,,,LAKEWATCH-TP,Total,2/28/24,12:21:00 PM,EST,2/29/24,12:25:00 PM,EST,Citrus,CIT-CRY,10,2/9/24,,EST,18,ug/L,6,19,ug/L,I,,Actual,1
