Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,Study,Comments
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,,,MBLK1,01/06/2026,321,1,0.01,3,,,TI,,TI,QAQC,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,B,12/17/2025,322,1,0.012,4,,,TI,,TI,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,1,12/17/2025,323,1,0.069,25,,,,,,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,2,12/17/2025,324,1,0.065,23,,,,,,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,3,12/17/2025,325,1,0.043,15,,,I,,I,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,4,12/17/2025,326,1,0.029,10,,,I,,I,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,5,12/17/2025,327,1,0.029,10,,,I,,I,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,6,12/17/2025,328,1,0.063,23,,,,,,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,7,12/17/2025,329,1,0.037,13,,,I,,I,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,8,12/17/2025,330,1,0.04,14,,,I,,I,Sample,TP01062026A01132026,,
01/06/2026,09:29:59 AM,EST,01/13/2026,09:20:00 AM,EST,Citrus,CIT-WIT,9,12/17/2025,331,1,0.048,17,,,I,,I,Sample,TP01062026A01132026,,
