Preparation_Date,Preparation_Time,Preparation_Time_Zone,Analysis_Date,Analysis_Time,Analysis_Time_Zone,County,Lake,Station,Activity_Start_Date,Tube_Number,Dilution,Abs,Result_Value(ug/L),Result_Comments,QAQC_Qualifier,WIN_Value_Qualifier,Holding_Qualifier,MDL_PQL_Qualifier,Data_Category,Run_ID,LWID,Comments
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MBLK1,,441,1,0.01,4,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,1,02/11/2025,442,1,0.022,8,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,2,02/11/2025,443,1,0.023,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,3,02/11/2025,444,1,0.022,8,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,4,02/11/2025,445,1,0.024,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,5,02/11/2025,446,1,0.025,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,6,02/11/2025,447,1,0.028,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,7,02/11/2025,448,1,0.024,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,8,02/11/2025,449,1,0.017,6,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,9,02/11/2025,450,1,0.023,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-HUD,10,02/11/2025,451,1,0.022,8,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,B,02/11/2025,452,1,0.012,5,,,TI,,TI,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,1,02/10/2025,453,1,0.191,70,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,2,02/10/2025,454,1,0.075,28,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,3,02/11/2025,455,1,0.039,14,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,4,02/10/2025,456,1,0.028,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,5,02/10/2025,457,1,0.026,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,6,02/11/2025,458,1,0.029,11,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,7,02/11/2025,459,1,0.026,10,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,8,02/11/2025,460,1,0.035,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,9,02/10/2025,461,1,0.051,19,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,MS1,02/10/2025,462,1,0.18,66,,,,,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,DUP1,02/10/2025,463,1,0.184,67,,,,,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,LFB1,,464,1,0.129,47,,,Q,Q,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,CCV1,,465,1,0.129,47,,,Q,Q,,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,,,MLBK2,,466,1,0.012,5,,,QTI,Q,TI,QAQC,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-PIT,10,02/10/2025,467,1,0.025,9,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,1,02/10/2025,468,1,0.057,21,,,,,,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,2,02/10/2025,469,1,0.046,17,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,3,02/10/2025,470,1,0.034,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,4,02/10/2025,471,1,0.048,18,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,5,02/10/2025,472,1,0.029,11,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,6,02/10/2025,473,1,0.038,14,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,7,02/10/2025,474,1,0.034,13,,,I,,I,Sample,TP03062025A03112025,,
03/06/2025,09:00:00 AM,EST,03/11/2025,11:56:59 AM,EDT,Pasco,PAS-ANC,8,02/10/2025,475,1,0.034,13,,,I,,I,Sample,TP03062025A03112025,,
