County,Lake,Station,Activity_Start_Date,"Result_Value_Chlorophyll-a (Corrected, ug/L)","Result_Value_Chlorophyll-a (Uncorrected, ug/L)",Result_Value_Secchi (ft),Result_Value_Total Nitrogen (ug/L),Result_Value_Total Phosphorus (ug/L),"Value_Qualifier_Chlorophyll-a (Corrected, ug/L)","Value_Qualifier_Chlorophyll-a (Uncorrected, ug/L)",Value_Qualifier_Secchi (ft),Value_Qualifier_Total Nitrogen (ug/L),Value_Qualifier_Total Phosphorus (ug/L)
Citrus,CIT-CRY,1,12/03/2025,1,2,1.8,154,11,U,,,,I
Citrus,CIT-CRY,10,12/03/2025,3,3,1.5,307,25,,,,,
Citrus,CIT-CRY,2,12/03/2025,2,3,1.4,288,26,,,,,
Citrus,CIT-CRY,3,12/03/2025,2,3,0.5,361,29,,,S,,
Citrus,CIT-CRY,4,12/03/2025,6,8,0.6,259,18,,,S,,I
Citrus,CIT-CRY,5,12/03/2025,1,1,2.3,181,11,U,U,S,,I
Citrus,CIT-CRY,6,12/03/2025,2,1,1.7,176,14,,U,S,,I
Citrus,CIT-CRY,7,12/03/2025,3,2,1,279,16,,,S,,I
Citrus,CIT-CRY,8,12/03/2025,2,1,0.8,316,13,,U,S,,I
Citrus,CIT-CRY,9,12/03/2025,2,3,1,336,19,,,S,,
Citrus,CIT-CRY,B,12/03/2025,,,,14,3,,,,U,U
Citrus,CIT-HOM,1,12/04/2025,2,1,0.6,303,7,,U,S,,I
Citrus,CIT-HOM,10,12/04/2025,3,2,1.2,343,6,,,S,,I
Citrus,CIT-HOM,2,12/04/2025,3,4,0.4,315,10,,,S,,I
Citrus,CIT-HOM,3,12/04/2025,1,2,0.5,395,19,U,,S,,I
Citrus,CIT-HOM,4,12/04/2025,3,5,0.9,319,18,,,S,,I
Citrus,CIT-HOM,5,12/04/2025,11,14,1.3,618,25,,,,,
Citrus,CIT-HOM,6,12/04/2025,1,1,1,234,8,U,U,S,,I
Citrus,CIT-HOM,7,12/04/2025,1,2,0.6,328,11,U,,S,,I
Citrus,CIT-HOM,8,12/04/2025,3,3,1,380,14,,,,,I
Citrus,CIT-HOM,9,12/04/2025,2,5,0.3,380,10,,,S,,I
Citrus,CIT-HOM,B,12/04/2025,,,,4,3,,,,U,U
Citrus,CIT-WIT,1,12/17/2025,2,1,1.4,449,25,,U,S,,
Citrus,CIT-WIT,10,12/17/2025,2,1,3.2,244,13,,U,S,,I
Citrus,CIT-WIT,2,12/17/2025,1,1,1.6,1062,23,U,U,S,,
Citrus,CIT-WIT,3,12/17/2025,2,5,1,1114,15,,,S,,I
Citrus,CIT-WIT,4,12/17/2025,2,1,3,162,10,,U,S,,I
Citrus,CIT-WIT,5,12/17/2025,1,1,2,223,10,U,U,S,,I
Citrus,CIT-WIT,6,12/17/2025,2,2,1.1,484,23,,,S,,
Citrus,CIT-WIT,7,12/17/2025,1,1,2.5,237,13,U,U,,,I
Citrus,CIT-WIT,8,12/17/2025,1,2,2.7,305,14,U,,S,,I
Citrus,CIT-WIT,9,12/17/2025,3,3,1.2,349,17,,,S,,I
Citrus,CIT-WIT,B,12/17/2025,,,,10,4,,,,,U
Hernando,HER-CHA,1,12/18/2025,3,2,0.6,659,22,,,S,,
Hernando,HER-CHA,10,12/18/2025,3,2,0.6,519,9,,,S,,I
Hernando,HER-CHA,2,12/18/2025,3,3,1.3,430,19,,,S,,
Hernando,HER-CHA,3,12/18/2025,4,4,1.6,446,21,,,,,
Hernando,HER-CHA,4,12/18/2025,2,2,1.7,397,14,,,S,,I
Hernando,HER-CHA,5,12/18/2025,1,1,1.5,357,13,U,U,S,,I
Hernando,HER-CHA,6,12/18/2025,1,1,1,230,9,U,U,S,,I
Hernando,HER-CHA,7,12/18/2025,1,1,0.9,434,7,U,U,S,,I
Hernando,HER-CHA,8,12/18/2025,1,1,1.3,331,9,U,U,S,,I
Hernando,HER-CHA,9,12/18/2025,1,1,1.3,222,4,U,U,S,,U
Hernando,HER-WEE,1,12/09/2025,1,1,1.1,926,10,U,U,S,,I
Hernando,HER-WEE,10,12/09/2025,1,1,1.3,381,7,U,U,S,,I
Hernando,HER-WEE,2,12/09/2025,3,2,1.3,859,10,,,S,,I
Hernando,HER-WEE,3,12/09/2025,3,2,1,687,12,,,S,,I
Hernando,HER-WEE,4,12/09/2025,1,1,0.7,474,7,U,U,S,,I
Hernando,HER-WEE,5,12/09/2025,1,1,1,516,8,U,U,S,,I
Hernando,HER-WEE,6,12/09/2025,1,1,1.1,407,6,U,U,S,,I
Hernando,HER-WEE,7,12/09/2025,1,1,1.2,491,10,U,U,S,,I
Hernando,HER-WEE,8,12/09/2025,1,1,0.8,444,9,U,U,S,,I
Hernando,HER-WEE,9,12/09/2025,1,1,1.7,407,9,U,U,S,,I
Hernando,HER-WEE,B,12/09/2025,,,,8,7,,,,U,I
Pasco,PAS-ANC,1,12/16/2025,1,1,2,447,19,U,U,S,,
Pasco,PAS-ANC,10,12/16/2025,1,1,1.2,346,8,U,U,S,,I
Pasco,PAS-ANC,2,12/16/2025,1,1,2.5,431,13,U,U,S,,I
Pasco,PAS-ANC,3,12/16/2025,1,1,2.1,374,14,U,U,,,I
Pasco,PAS-ANC,4,12/16/2025,3,1,2,356,12,,U,,,I
Pasco,PAS-ANC,5,12/16/2025,1,1,1,336,11,U,U,S,,I
Pasco,PAS-ANC,6,12/16/2025,2,1,0.7,349,12,,U,S,,I
Pasco,PAS-ANC,7,12/16/2025,1,1,2.5,344,10,U,U,S,,I
Pasco,PAS-ANC,8,12/16/2025,1,1,1,309,16,U,U,S,,I
Pasco,PAS-ANC,9,12/16/2025,1,1,2.2,329,12,U,U,S,,I
Pasco,PAS-ARI,1,12/11/2025,1,1,1,439,8,U,U,S,,I
Pasco,PAS-ARI,10,12/11/2025,1,1,2.1,249,6,U,U,S,,I
Pasco,PAS-ARI,2,12/11/2025,1,1,1.3,415,8,U,U,S,,I
Pasco,PAS-ARI,3,12/11/2025,1,1,1.6,526,11,U,U,S,,I
Pasco,PAS-ARI,4,12/11/2025,1,1,1.4,366,8,U,U,S,,I
Pasco,PAS-ARI,5,12/11/2025,1,1,0.6,453,10,U,U,S,,I
Pasco,PAS-ARI,6,12/11/2025,1,1,1.6,346,7,U,U,S,,I
Pasco,PAS-ARI,7,12/11/2025,1,1,0.9,461,8,U,U,S,,I
Pasco,PAS-ARI,8,12/11/2025,1,1,0.8,417,8,U,U,S,,I
Pasco,PAS-ARI,9,12/11/2025,1,1,1.5,299,10,U,U,S,,I
Pasco,PAS-HUD,1,12/11/2025,1,1,2.1,295,10,U,U,S,,I
Pasco,PAS-HUD,10,12/11/2025,1,1,1.7,302,8,U,U,S,,I
Pasco,PAS-HUD,2,12/11/2025,1,1,1.2,407,8,U,U,S,,I
Pasco,PAS-HUD,3,12/11/2025,1,1,2.7,235,6,U,U,S,,I
Pasco,PAS-HUD,4,12/11/2025,2,1,2.1,343,9,,U,S,,I
Pasco,PAS-HUD,5,12/11/2025,1,1,1.2,292,13,U,U,S,,I
Pasco,PAS-HUD,6,12/11/2025,1,1,2.1,371,9,U,U,S,,I
Pasco,PAS-HUD,7,12/11/2025,1,1,0.9,486,10,U,U,S,,I
Pasco,PAS-HUD,8,12/11/2025,1,1,2.4,271,7,U,U,S,,I
Pasco,PAS-HUD,9,12/11/2025,1,1,1.1,353,7,U,U,S,,I
Pasco,PAS-PIT,1,12/16/2025,4,5,0.4,897,10,,,S,,I
Pasco,PAS-PIT,10,12/16/2025,1,1,2.4,416,9,U,U,S,,I
Pasco,PAS-PIT,2,12/16/2025,2,3,1.4,420,21,,,S,,
Pasco,PAS-PIT,3,12/16/2025,1,1,1,427,15,U,U,S,,I
Pasco,PAS-PIT,4,12/16/2025,1,1,1.6,256,6,U,U,S,,I
Pasco,PAS-PIT,5,12/16/2025,1,1,1.7,338,8,U,U,S,,I
Pasco,PAS-PIT,6,12/16/2025,1,1,1.6,435,10,U,U,S,,I
Pasco,PAS-PIT,7,12/16/2025,1,1,1,434,10,U,U,S,,I
Pasco,PAS-PIT,8,12/16/2025,1,1,1.4,425,10,U,U,S,,I
Pasco,PAS-PIT,9,12/16/2025,1,1,0.7,529,14,U,U,S,,I
Pasco,PAS-PIT,B,12/16/2025,,,,12,4,,,,U,U
,Crack- 10M,1,12/03/2025,,,,216,9,,,,,I
,Crack- 50M,1,12/03/2025,,,,328,9,,,,,I
,Crack- Bottom,1,12/03/2025,,,,338,11,,,,,I
,Old Greg- 10M,1,12/03/2025,,,,239,11,,,,,I
,Old Greg- 50M,1,12/03/2025,,,,289,13,,,,,I
