Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-05/10/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|05/10/2024 02:00:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|05/10/2024 10:21:00|CDT|NA|ug/L|1|1|ug/L|NA| |Actual|1|21FLKWAT|None|Hol-CBA Pea Riv-1-05/10/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-06/14/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/14/2024 01:25:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|06/14/2024 11:47:59|CDT|4|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Hol-CBA Pea Riv-1-06/14/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-07/12/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|07/12/2024 01:42:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|07/12/2024 11:49:00|CDT|4|ug/L|1|1|ug/L|NA| |Actual|1|21FLKWAT|None|Hol-CBA Pea Riv-1-07/12/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-04/10/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|04/11/2024 12:00:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|04/10/2024 09:44:00|CDT|5|ug/L|1|1|ug/L|NA| |Actual|1|21FLKWAT|None|Hol-CBA Riv-7-1-04/10/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-05/10/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|05/10/2024 02:00:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|05/10/2024 11:28:00|CDT|5|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Hol-CBA Riv-7-1-05/10/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-06/14/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/14/2024 01:25:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|06/14/2024 09:37:00|CDT|6|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Hol-CBA Riv-7-1-06/14/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-07/12/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|07/12/2024 01:42:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|07/12/2024 09:24:00|CDT|2|ug/L|1|1|ug/L|NA| |Actual|1|21FLKWAT|None|Hol-CBA Riv-7-1-07/12/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-04/10/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|04/11/2024 12:05:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|04/10/2024 10:10:00|CDT|2|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Hol-CBA Riv-8-1-04/10/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-05/10/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|05/10/2024 02:05:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|05/10/2024 10:53:00|CDT|13|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Hol-CBA Riv-8-1-05/10/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-06/14/2024S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/14/2024 01:30:00 PM|CDT|10/22/2024 09:20:00 AM|EDT|06/14/2024 10:12:59|CDT|5|ug/L|1|1|ug/L|NA| |Actual|1|21FLKWAT|None|Hol-CBA Riv-8-1-06/14/2024S
