Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Wal-CB-Destin-7|Wal-CB-Destin-7-2025-02-05S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|02/05/2025 NA|CST|09/23/2025 12:00:00|EST|02/05/2025 NA|CST|6|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Wal-CB-Destin-7-2025-02-05S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Wal-ern North-1|Wal-ern North-1-2025-03-04S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|03/05/2025 10:56:00|CST|09/23/2025 12:00:00|EST|03/04/2025 10:38:00|CST|2|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Wal-ern North-1-2025-03-04S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Wal-Grayton-3|Wal-Grayton-3-2024-11-08S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|11/08/2024 10:42:00|CST|09/23/2025 12:00:00|EST|11/08/2024 09:39:59|CST|3|ug/L|1|1|ug/L|Q| |Actual|1|21FLKWAT|None|Wal-Grayton-3-2024-11-08S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-1|Oka-CB-Destin-1-2025-06-18S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/18/2025 14:00:00|CST|09/16/2025 09:29:59|EST|06/18/2025 08:38:00|CST|5|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka-CB-Destin-1-2025-06-18S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka- Destin-2-1|Oka- Destin-2-1-2025-06-18S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/18/2025 14:05:00|CST|09/16/2025 09:29:59|EST|06/18/2025 09:04:00|CST|9|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka- Destin-2-1-2025-06-18S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-3|Oka-CB-Destin-3-2025-06-18S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/18/2025 14:10:00|CST|09/16/2025 09:29:59|EST|06/18/2025 09:22:00|CST|7|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka-CB-Destin-3-2025-06-18S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-4|Oka-CB-Destin-4-2025-06-18S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/18/2025 14:15:00|CST|09/16/2025 09:29:59|EST|06/18/2025 09:41:59|CST|4|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka-CB-Destin-4-2025-06-18S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-n Beach-1-1|Oka-n Beach-1-1-2025-07-30S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|07/30/2025 12:00:00|CST|09/16/2025 09:29:59|EST|07/30/2025 10:17:00|CST|3|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka-n Beach-1-1-2025-07-30S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-2|Oka-CB-Beach-2-2025-07-30S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|07/30/2025 12:05:00|CST|09/16/2025 09:29:59|EST|07/30/2025 09:35:00|CST|3|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka-CB-Beach-2-2025-07-30S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-3|Oka-CB-Beach-3-2025-07-30S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|07/30/2025 12:10:00|CST|09/16/2025 09:29:59|EST|07/30/2025 09:18:00|CST|4|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Oka-CB-Beach-3-2025-07-30S
