Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-07/12/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/12/2024 11:49:00 AM|CDT|18|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Hol-CBA Pea Riv-1-07/12/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-07/12/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/12/2024 09:24:00 AM|CDT|18|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Hol-CBA Riv-7-1-07/12/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-07/12/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/12/2024 09:55:00 AM|CDT|18|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Hol-CBA Riv-8-1-07/12/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-9-1|Hol-CBA Riv-9-1-07/12/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/12/2024 10:48:00 AM|CDT|13|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Hol-CBA Riv-9-1-07/12/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-1|Oka-CB-Destin-1-07/26/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||09/13/2024 3:06:00 PM|EDT|09/16/2024 1:59:00 PM|EDT|07/26/2024 10:35:00 AM|CDT|11|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Destin-1-07/26/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka- Destin-2-1|Oka- Destin-2-1-07/26/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||09/13/2024 3:06:00 PM|EDT|09/16/2024 1:59:00 PM|EDT|07/26/2024 10:14:59 AM|CDT|12|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka- Destin-2-1-07/26/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-3|Oka-CB-Destin-3-07/26/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||09/13/2024 3:06:00 PM|EDT|09/16/2024 1:59:00 PM|EDT|07/26/2024 10:01:00 AM|CDT|11|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Destin-3-07/26/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-4|Oka-CB-Destin-4-07/26/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||09/13/2024 3:06:00 PM|EDT|09/16/2024 1:59:00 PM|EDT|07/26/2024 09:46:00 AM|CDT|10|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Destin-4-07/26/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-n Beach-1-1|Oka-n Beach-1-1-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 11:05:00 AM|CDT|9|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-n Beach-1-1-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-10|Oka-CB-Beach-10-07/16/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/16/2024 09:25:00 AM|CDT|8|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-10-07/16/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-16|Oka-CB-Beach-16-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 10:55:00 AM|CDT|10|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-16-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-19|Oka-CB-Beach-19-07/05/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/05/2024 08:53:00 AM|CDT|9|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-19-07/05/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-2|Oka-CB-Beach-2-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 10:44:00 AM|CDT|12|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-2-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-3|Oka-CB-Beach-3-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 10:32:59 AM|CDT|8|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-3-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-4|Oka-CB-Beach-4-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 09:38:00 AM|CDT|11|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-4-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-n Beach-5-1|Oka-n Beach-5-1-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 09:18:00 AM|CDT|11|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-n Beach-5-1-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-6|Oka-CB-Beach-6-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 09:47:59 AM|CDT|11|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-6-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-7|Oka-CB-Beach-7-07/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/25/2024 10:04:00 AM|CDT|13|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-7-07/25/2024S
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-8|Oka-CB-Beach-8-07/16/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/16/2024 08:54:59 AM|CDT|5|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Oka-CB-Beach-8-07/16/2024S
