Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-05/10/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||05/10/2024 10:21:00 AM|CDT|5.8|ft||||||Actual||21FLKWAT|None|Hol-CBA Pea Riv-1-05/10/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-06/14/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||06/14/2024 11:47:59 AM|CDT|2|ft||||||Actual||21FLKWAT|None|Hol-CBA Pea Riv-1-06/14/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Pea Riv-1|Hol-CBA Pea Riv-1-07/12/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||07/12/2024 11:49:00 AM|CDT|3|ft||||||Actual||21FLKWAT|None|Hol-CBA Pea Riv-1-07/12/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-04/10/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||04/10/2024 09:44:00 AM|CDT|2.8|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-7-1-04/10/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-05/10/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||05/10/2024 11:28:00 AM|CDT|8.5|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-7-1-05/10/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-06/14/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||06/14/2024 09:37:00 AM|CDT|1|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-7-1-06/14/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-7-1|Hol-CBA Riv-7-1-07/12/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||3|ft|FDEP FT1700|| || ||07/12/2024 09:24:00 AM|CDT|3|ft||||S||Actual||21FLKWAT|None|Hol-CBA Riv-7-1-07/12/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-04/10/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||04/10/2024 10:10:00 AM|CDT|2|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-8-1-04/10/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-05/10/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||05/10/2024 10:53:00 AM|CDT|2.8|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-8-1-05/10/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-06/14/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||06/14/2024 10:12:59 AM|CDT|2.5|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-8-1-06/14/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-8-1|Hol-CBA Riv-8-1-07/12/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||07/12/2024 09:55:00 AM|CDT|2|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-8-1-07/12/2024F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Hol-CBA Riv-9-1|Hol-CBA Riv-9-1-04/11/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||04/11/2024 09:15:00 AM|CDT|2|ft||||||Actual||21FLKWAT|None|Hol-CBA Riv-9-1-04/11/2024F
