Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|WIN_Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Wal-CB-Destin-7|Wal-CB-Destin-7-2025-02-05F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-02-05 NA|CST|Not Reported|ft| | | || |Actual| |21FLKWAT|None|Wal-CB-Destin-7-2025-02-05F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Wal-ern North-1|Wal-ern North-1-2025-03-04F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-03-04 10:38:00|CST|5|ft| | | || |Actual| |21FLKWAT|None|Wal-ern North-1-2025-03-04F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Wal-Grayton-3|Wal-Grayton-3-2024-11-08F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2024-11-08 09:39:59|CST|5.5|ft| | | || |Actual| |21FLKWAT|None|Wal-Grayton-3-2024-11-08F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-1|Oka-CB-Destin-1-2025-06-18F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |6|ft|FDEP FT1700| | | | | |2025-06-18 08:38:00|CST|6|ft| | | |S| |Actual| |21FLKWAT|None|Oka-CB-Destin-1-2025-06-18F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka- Destin-2-1|Oka- Destin-2-1-2025-06-18F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-06-18 09:04:00|CST|3|ft| | | || |Actual| |21FLKWAT|None|Oka- Destin-2-1-2025-06-18F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-3|Oka-CB-Destin-3-2025-06-18F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-06-18 09:22:00|CST|4|ft| | | || |Actual| |21FLKWAT|None|Oka-CB-Destin-3-2025-06-18F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Destin-4|Oka-CB-Destin-4-2025-06-18F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |6|ft|FDEP FT1700| | | | | |2025-06-18 09:41:59|CST|6|ft| | | |S| |Actual| |21FLKWAT|None|Oka-CB-Destin-4-2025-06-18F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-n Beach-1-1|Oka-n Beach-1-1-2025-07-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-30 10:17:00|CST|10|ft| | | || |Actual| |21FLKWAT|None|Oka-n Beach-1-1-2025-07-30F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-2|Oka-CB-Beach-2-2025-07-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-30 09:35:00|CST|14|ft| | | || |Actual| |21FLKWAT|None|Oka-CB-Beach-2-2025-07-30F
BAYRALLY|CHOCTAWHATCHEE BASIN ALLIANCE|AQUEOUS-Surface Water|Oka-CB-Beach-3|Oka-CB-Beach-3-2025-07-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-30 09:18:00|CST|12.5|ft| | | || |Actual| |21FLKWAT|None|Oka-CB-Beach-3-2025-07-30F
