Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT Analyte ID|Org Analyte Name|Activity Type|Sample Collection Type|Sample Collection Equipment|Activity Depth|Activity Depth Unit|Total Depth|Total Depth Unit|Analysis Method|Sample Fraction|Preparation_Date_Time|Preparation Time Zone|Analysis_Date_Time|Analysis Time Zone|Activity_Date_Time|Activity Time Zone|Org Result Value|Org Result Unit|Org MDL|Org PQL|Org Detection Unit|Value Qualifier|Result Comments|Result Value Type Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-1|CIT-CRY-1-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 09:23:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 09:21:00 AM|EST|2|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-1-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-2|CIT-CRY-2-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 09:07:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 09:05:00 AM|EST|2|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-2-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-3|CIT-CRY-3-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 08:52:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 08:50:00 AM|EST|5|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-3-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-4|CIT-CRY-4-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 08:23:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 08:21:00 AM|EST|10|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-4-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-5|CIT-CRY-5-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 09:42:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 09:40:00 AM|EST|2|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-5-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-6|CIT-CRY-6-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 10:02:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 10:00:00 AM|EST|1|ug/L|1|1|ug/L|U||Actual|1|21FLKWAT|None|CIT-CRY-6-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-7|CIT-CRY-7-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 11:28:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 11:26:00 AM|EST|2|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-7-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-8|CIT-CRY-8-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 10:22:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 10:20:00 AM|EST|1|ug/L|1|1|ug/L|U||Actual|1|21FLKWAT|None|CIT-CRY-8-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-9|CIT-CRY-9-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 10:40:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 10:38:00 AM|EST|5|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-9-1/24/24S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-10|CIT-CRY-10-1/24/24S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|1/24/24 11:08:00 AM|EST|1/30/24 09:00:00 AM|EST|1/24/24 11:06:00 AM|EST|2|ug/L|1|1|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-10-1/24/24S
