Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-1|Ala-Alice-1-07/31/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2024 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/31/2024 09:20:00 AM|EDT|45|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-Alice-1-07/31/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-1|Ala-Alto-1-07/19/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||09/13/2024 3:06:00 PM|EDT|09/16/2024 1:59:00 PM|EDT|07/19/2024 09:55:00 AM|EDT|44|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-Alto-1-07/19/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-BluesC-1-1|Ala-BluesC-1-1-07/15/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||11/12/2024 2:36:00 PM|EST|11/14/2024 12:33:00 PM|EST|07/15/2024 12:19:59 PM|EDT|57|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-BluesC-1-1-07/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-CellonC-2-1|Ala-CellonC-2-1-07/15/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||11/12/2024 2:36:00 PM|EST|11/14/2024 12:33:00 PM|EST|07/15/2024 09:51:00 AM|EDT|76|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-CellonC-2-1-07/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-CellonC-4-1|Ala-CellonC-4-1-07/15/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||11/12/2024 2:36:00 PM|EST|11/14/2024 12:33:00 PM|EST|07/15/2024 11:27:00 AM|EDT|16|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-CellonC-4-1-07/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Elizabeth-1|Ala-Elizabeth-1-07/28/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||10/17/2024 2:10:00 PM|EDT|10/22/2024 11:31:00 AM|EDT|07/28/2024 08:44:59 AM|EDT|48|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-Elizabeth-1-07/28/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Kingswood-1|Ala-Kingswood-1-07/31/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/31/2024 12:30:00 PM|EDT|118|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-Kingswood-1-07/31/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-LittleSa-2|Ala-LittleSa-2-05/28/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||08/23/2024 3:00:00 PM|EDT|08/28/2024 2:30:00 PM|EDT|05/28/2024 01:41:00 PM|EDT|36|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-LittleSa-2-05/28/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-LittleSa-2|Ala-LittleSa-2-06/25/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||08/23/2024 3:00:00 PM|EDT|08/28/2024 2:30:00 PM|EDT|06/25/2024 11:19:00 AM|EDT|36|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-LittleSa-2-06/25/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-LittleSa-2|Ala-LittleSa-2-07/29/2024S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 C||01/01/2004 12:00:00 AM|EDT|09/25/2024 1:56:00 PM|EDT|07/29/2024 11:31:00 AM|EDT|31|PCU|1|1||NA| |Actual|1|21FLKWAT|None|Ala-LittleSa-2-07/29/2024S
