Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-1|Gul-St-phBay-1-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 11:54:59|EST|9|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-1-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-2|Gul-St-phBay-2-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 11:49:00|EST|9|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-2-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-3|Gul-St-phBay-3-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 11:38:00|EST|7|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-3-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-4|Gul-St-phBay-4-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 11:14:00|EST|10|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-4-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-5|Gul-St-phBay-5-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 11:22:00|EST|10|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-5-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-6|Gul-St-phBay-6-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 12:14:59|EST|29|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-6-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-7|Gul-St-phBay-7-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 12:05:00|EST|21|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-7-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-8|Gul-St-phBay-8-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 10:59:00|EST|12|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-8-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Gul-St-phBay-9|Gul-St-phBay-9-2025-07-08S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/8/25 11:27:00|EST|9|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Gul-St-phBay-9-2025-07-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-1|Her-Hernando-Beach-1-2025-07-23S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/23/25 09:55:00|EST|8|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-1-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-3|Her-Hernando-Beach-3-2025-07-23S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/23/25 11:30:00|EST|8|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-3-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-4|Her-Hernando-Beach-4-2025-07-23S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/23/25 09:29:59|EST|11|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-4-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-5|Her-Hernando-Beach-5-2025-07-23S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/23/25 10:14:59|EST|10|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-5-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Lak-Bear-1|Lak-Bear-1-2025-07-07S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/7/25 08:15:00|EST|269|PCU|1|1|PCU|| |Actual|4|21FLKWAT|None|Lak-Bear-1-2025-07-07S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-07-19S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/19/25 12:00:00|EST|11|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|NA-2025-07-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Lak-BuSprings-1|Lak-BuSprings-1-2025-07-19S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/19/25 12:00:00|EST|11|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Lak-BuSprings-1-2025-07-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Lak-Crown-1|Lak-Crown-1-2025-07-27S|FL-PHYS-012|Color- True|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2120 C||9/19/25 13:29:00|EST|10/24/25 12:33:00|EST|7/27/25 09:49:00|EST|30|PCU|1|1|PCU|| |Actual|1|21FLKWAT|None|Lak-Crown-1-2025-07-27S
