Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-BluesC-1-1|Ala-BluesC-1-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 02:14:00 PM|EDT|258.2|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-BluesC-1-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-BluesC-2-1|Ala-BluesC-2-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 02:16:00 PM|EDT|96.1|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-BluesC-2-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-BluesC-3-1|Ala-BluesC-3-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 01:59:00 PM|EDT|95.1|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-BluesC-3-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-CellonC-1-1|Ala-CellonC-1-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 09:37:00 AM|EDT|241|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-CellonC-1-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-CellonC-2-1|Ala-CellonC-2-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 09:00:00 AM|EDT|270.2|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-CellonC-2-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-CellonC-3-1|Ala-CellonC-3-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 10:12:59 AM|EDT|341.7|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-CellonC-3-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-CellonC-4-1|Ala-CellonC-4-1-04/15/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||06/12/2024 7:12:00 AM|EDT|04/15/2024 12:57:00 PM|EDT|382.9|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-CellonC-4-1-04/15/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Elizabeth-1|Ala-Elizabeth-1-04/30/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||07/19/2024 7:24:00 AM|EDT|04/30/2024 11:20:00 AM|EDT|57.8|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-Elizabeth-1-04/30/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-HogtownCr-1|Ala-HogtownCr-1-04/01/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||07/12/2024 7:51:00 AM|EDT|04/01/2024 11:40:00 AM|EDT|246.9|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-HogtownCr-1-04/01/2024S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-HogtownCr-2|Ala-HogtownCr-2-04/01/2024S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B||NA NA||07/12/2024 7:51:00 AM|EDT|04/01/2024 11:30:00 AM|EDT|243.3|uS/cm||||Q| |Actual||21FLKWAT|None|Ala-HogtownCr-2-04/01/2024S
