Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Wauberg-1|Ala-Wauberg-1-2025-10-12S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|10/12/25 10:32:00|EST|99|uS/cm||||| |Actual|1|21FLKWAT|None|Ala-Wauberg-1-2025-10-12S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-10-12S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|10/12/25 10:32:00|EST|99|uS/cm||||| |Actual|1|21FLKWAT|None|NA-2025-10-12S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-10-12S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|10/12/25 10:32:00|EST|99|uS/cm||||| |Actual|1|21FLKWAT|None|NA-2025-10-12S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-FoxValley-1|Cla-FoxValley-1-2025-07-12S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/12/25 09:05:00|EST|113|uS/cm||||| |Actual|1|21FLKWAT|None|Cla-FoxValley-1-2025-07-12S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-1|Her-Hernando-Beach-1-2025-07-23S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/23/25 09:55:00|EST|35|uS/cm||||| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-1-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-3|Her-Hernando-Beach-3-2025-07-23S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/23/25 11:30:00|EST|28|uS/cm||||| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-3-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-4|Her-Hernando-Beach-4-2025-07-23S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/23/25 09:29:59|EST|18|uS/cm||||| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-4-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-5|Her-Hernando-Beach-5-2025-07-23S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/23/25 10:14:59|EST|34|uS/cm||||| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-5-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Her-Hernando-Beach-6|Her-Hernando-Beach-6-2025-07-23S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/23/25 10:50:00|EST|20|uS/cm||||| |Actual|1|21FLKWAT|None|Her-Hernando-Beach-6-2025-07-23S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-07-27S|1610|Specific Conductance|Sample|Direct Grab|Water Bottle|0.3|m|||SM 2510 B|||EST|11/18/25 08:06:00|EST|7/27/25 08:54:59|EST|97|uS/cm||||| |Actual|1|21FLKWAT|None|NA-2025-07-27S
