Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-1|Ala-Alice-1-07/31/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||07/31/2024 09:20:00 AM|EDT|4.8|ft||||||Actual||21FLKWAT|None|Ala-Alice-1-07/31/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-2|Ala-Alice-2-07/31/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||07/31/2024 10:08:00 AM|EDT|5.8|ft||||||Actual||21FLKWAT|None|Ala-Alice-2-07/31/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-3|Ala-Alice-3-07/31/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5|ft|FDEP FT1700|| || ||07/31/2024 10:46:00 AM|EDT|5|ft||||S||Actual||21FLKWAT|None|Ala-Alice-3-07/31/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-1|Ala-Alto-1-04/19/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||04/19/2024 09:53:00 AM|EDT|3.5|ft||||||Actual||21FLKWAT|None|Ala-Alto-1-04/19/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-2|Ala-Alto-2-04/19/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||04/19/2024 10:14:59 AM|EDT|3.5|ft||||||Actual||21FLKWAT|None|Ala-Alto-2-04/19/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-3|Ala-Alto-3-04/19/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||04/19/2024 10:32:59 AM|EDT|3|ft||||||Actual||21FLKWAT|None|Ala-Alto-3-04/19/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-1|Ala-Alto-1-05/16/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||05/16/2024 09:50:00 AM|EDT|2.8|ft||||||Actual||21FLKWAT|None|Ala-Alto-1-05/16/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-2|Ala-Alto-2-05/16/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||05/16/2024 10:14:59 AM|EDT|3|ft||||||Actual||21FLKWAT|None|Ala-Alto-2-05/16/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-3|Ala-Alto-3-05/16/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||05/16/2024 10:40:00 AM|EDT|3|ft||||||Actual||21FLKWAT|None|Ala-Alto-3-05/16/2024F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-1|Ala-Alto-1-06/17/2024F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device||||ft|FDEP FT1700|| || ||06/17/2024 10:17:59 AM|EDT|4|ft||||||Actual||21FLKWAT|None|Ala-Alto-1-06/17/2024F
