Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|WIN_Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-IFAS Collier Pd-1|Col-IFAS Collier Pd-1-2025-07-21F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-21 11:22:00|EST|8.8|ft| | | || |Actual| |21FLKWAT|None|Col-IFAS Collier Pd-1-2025-07-21F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-IFAS Collier Pd-2|Col-IFAS Collier Pd-2-2025-07-21F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-21 11:32:00|EST|Not Reported|ft| | | || |Actual| |21FLKWAT|None|Col-IFAS Collier Pd-2-2025-07-21F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-IFAS Collier Pd-3|Col-IFAS Collier Pd-3-2025-07-21F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |10.5|ft|FDEP FT1700| | | | | |2025-07-21 11:35:59|EST|10.5|ft| | | |S| |Actual| |21FLKWAT|None|Col-IFAS Collier Pd-3-2025-07-21F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-IFAS Collier Pd-1|Col-IFAS Collier Pd-1-2025-08-20F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |9.8|ft|FDEP FT1700| | | | | |2025-08-20 11:37:00|EST|9.8|ft| | | |S| |Actual| |21FLKWAT|None|Col-IFAS Collier Pd-1-2025-08-20F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-IFAS Collier Pd-2|Col-IFAS Collier Pd-2-2025-08-20F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-20 11:41:00|EST|Not Reported|ft| | | || |Actual| |21FLKWAT|None|Col-IFAS Collier Pd-2-2025-08-20F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-IFAS Collier Pd-3|Col-IFAS Collier Pd-3-2025-08-20F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-20 11:46:00|EST|Not Reported|ft| | | || |Actual| |21FLKWAT|None|Col-IFAS Collier Pd-3-2025-08-20F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Islandwalk-1|Col-Islandwalk-1-2025-07-16F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-16 09:44:00|EST|3|ft| | | || |Actual| |21FLKWAT|None|Col-Islandwalk-1-2025-07-16F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Islandwalk-2|Col-Islandwalk-2-2025-07-16F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-16 09:36:00|EST|3.3|ft| | | || |Actual| |21FLKWAT|None|Col-Islandwalk-2-2025-07-16F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Islandwalk-3|Col-Islandwalk-3-2025-07-16F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-16 09:20:59|EST|4|ft| | | || |Actual| |21FLKWAT|None|Col-Islandwalk-3-2025-07-16F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Islandwalk-8|Col-Islandwalk-8-2025-07-16F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-16 10:04:00|EST|4.3|ft| | | || |Actual| |21FLKWAT|None|Col-Islandwalk-8-2025-07-16F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Saddlebrook-1|Col-Saddlebrook-1-2025-06-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-06-30 10:42:00|EST|4.5|ft| | | || |Actual| |21FLKWAT|None|Col-Saddlebrook-1-2025-06-30F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Saddlebrook-2|Col-Saddlebrook-2-2025-06-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-06-30 10:54:00|EST|3.8|ft| | | || |Actual| |21FLKWAT|None|Col-Saddlebrook-2-2025-06-30F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Saddlebrook-3|Col-Saddlebrook-3-2025-06-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-06-30 11:01:00|EST|4.5|ft| | | || |Actual| |21FLKWAT|None|Col-Saddlebrook-3-2025-06-30F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Saddlebrook-1|Col-Saddlebrook-1-2025-07-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-30 10:40:00|EST|8.5|ft| | | || |Actual| |21FLKWAT|None|Col-Saddlebrook-1-2025-07-30F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Saddlebrook-2|Col-Saddlebrook-2-2025-07-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-30 10:50:00|EST|7|ft| | | || |Actual| |21FLKWAT|None|Col-Saddlebrook-2-2025-07-30F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-Saddlebrook-3|Col-Saddlebrook-3-2025-07-30F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-30 10:57:00|EST|8.5|ft| | | || |Actual| |21FLKWAT|None|Col-Saddlebrook-3-2025-07-30F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-SB-61-1|Col-SB-61-1-2025-08-25F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-25 08:09:59|EST|4|ft| | | || |Actual| |21FLKWAT|None|Col-SB-61-1-2025-08-25F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Col-SB-61-2|Col-SB-61-2-2025-08-25F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-25 08:15:00|EST|4|ft| | | || |Actual| |21FLKWAT|None|Col-SB-61-2-2025-08-25F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-E-1|Mia-E-1-2025-08-17F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-17 08:44:59|EST|15|ft| | | || |Actual| |21FLKWAT|None|Mia-E-1-2025-08-17F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-E-2|Mia-E-2-2025-08-17F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-17 08:40:00|EST|15|ft| | | || |Actual| |21FLKWAT|None|Mia-E-2-2025-08-17F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-E-3|Mia-E-3-2025-08-17F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-17 08:32:00|EST|14|ft| | | || |Actual| |21FLKWAT|None|Mia-E-3-2025-08-17F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Lakeridge-1|Mia-Lakeridge-1-2025-04-08F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |12|ft|FDEP FT1700| | | | | |2025-04-08 09:20:00|EST|12|ft| | | |S| |Actual| |21FLKWAT|None|Mia-Lakeridge-1-2025-04-08F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Lakeridge-2|Mia-Lakeridge-2-2025-04-08F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |12|ft|FDEP FT1700| | | | | |2025-04-08 09:15:00|EST|12|ft| | | |S| |Actual| |21FLKWAT|None|Mia-Lakeridge-2-2025-04-08F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Lakeridge-3|Mia-Lakeridge-3-2025-04-08F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-04-08 09:10:00|EST|12|ft| | | || |Actual| |21FLKWAT|None|Mia-Lakeridge-3-2025-04-08F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Lakeridge-1|Mia-Lakeridge-1-2025-08-26F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-26 09:10:00|EST|8.8|ft| | | || |Actual| |21FLKWAT|None|Mia-Lakeridge-1-2025-08-26F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Lakeridge-2|Mia-Lakeridge-2-2025-08-26F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-26 09:05:00|EST|8.5|ft| | | || |Actual| |21FLKWAT|None|Mia-Lakeridge-2-2025-08-26F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Lakeridge-3|Mia-Lakeridge-3-2025-08-26F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-26 09:00:00|EST|7.8|ft| | | || |Actual| |21FLKWAT|None|Mia-Lakeridge-3-2025-08-26F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Oakland-1|Mia-Oakland-1-2025-07-14F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-14 12:28:00|EST|12.8|ft| | | || |Actual| |21FLKWAT|None|Mia-Oakland-1-2025-07-14F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Oakland-2|Mia-Oakland-2-2025-07-14F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-07-14 12:34:00|EST|13|ft| | | || |Actual| |21FLKWAT|None|Mia-Oakland-2-2025-07-14F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Oakland-3|Mia-Oakland-3-2025-07-14F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |12|ft|FDEP FT1700| | | | | |2025-07-14 12:42:00|EST|12|ft| | | |S| |Actual| |21FLKWAT|None|Mia-Oakland-3-2025-07-14F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Oakland-1|Mia-Oakland-1-2025-08-10F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-10 12:29:00|EST|14|ft| | | || |Actual| |21FLKWAT|None|Mia-Oakland-1-2025-08-10F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Oakland-2|Mia-Oakland-2-2025-08-10F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | ||ft|FDEP FT1700| | | | | |2025-08-10 12:38:00|EST|13.3|ft| | | || |Actual| |21FLKWAT|None|Mia-Oakland-2-2025-08-10F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Mia-Oakland-3|Mia-Oakland-3-2025-08-10F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device| | |12|ft|FDEP FT1700| | | | | |2025-08-10 12:45:00|EST|12|ft| | | |S| |Actual| |21FLKWAT|None|Mia-Oakland-3-2025-08-10F
