Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alice Alachua 1|Alice Alachua 1-08/01/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5|ft|FDEP FT1700|| || ||08/01/2028 9:20:00 AM|EDT|4.8|ft||||||Actual||21FLKWAT|None|Alice Alachua 1-08/01/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alice Alachua 2|Alice Alachua 2-08/01/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||10.3|ft|FDEP FT1700|| || ||08/01/2028 10:08:00 AM|EDT|5.8|ft||||||Actual||21FLKWAT|None|Alice Alachua 2-08/01/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alice Alachua 3|Alice Alachua 3-08/01/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||5|ft|FDEP FT1700|| || ||08/01/2028 10:46:00 AM|EDT|5|ft||||S||Actual||21FLKWAT|None|Alice Alachua 3-08/01/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 1|Alto Alachua 1-04/20/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||15.5|ft|FDEP FT1700|| || ||04/20/2028 9:53:00 AM|EDT|3.5|ft||||||Actual||21FLKWAT|None|Alto Alachua 1-04/20/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 2|Alto Alachua 2-04/20/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||17.5|ft|FDEP FT1700|| || ||04/20/2028 10:14:59 AM|EDT|3.5|ft||||||Actual||21FLKWAT|None|Alto Alachua 2-04/20/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 3|Alto Alachua 3-04/20/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||17.8|ft|FDEP FT1700|| || ||04/20/2028 10:32:59 AM|EDT|3|ft||||||Actual||21FLKWAT|None|Alto Alachua 3-04/20/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 1|Alto Alachua 1-05/17/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||14.8|ft|FDEP FT1700|| || ||05/17/2028 9:50:00 AM|EDT|2.8|ft||||||Actual||21FLKWAT|None|Alto Alachua 1-05/17/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 2|Alto Alachua 2-05/17/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||17|ft|FDEP FT1700|| || ||05/17/2028 10:14:59 AM|EDT|3|ft||||||Actual||21FLKWAT|None|Alto Alachua 2-05/17/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 3|Alto Alachua 3-05/17/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||17|ft|FDEP FT1700|| || ||05/17/2028 10:40:00 AM|EDT|3|ft||||||Actual||21FLKWAT|None|Alto Alachua 3-05/17/2028F
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Alto Alachua 1|Alto Alachua 1-06/18/2028F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||14.5|ft|FDEP FT1700|| || ||06/18/2028 10:17:59 AM|EDT|4|ft||||||Actual||21FLKWAT|None|Alto Alachua 1-06/18/2028F
