Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-1|Ala-Alice-1-2025-07-30S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|7/30/25 11:44:59|EST|1353|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|Ala-Alice-1-2025-07-30S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-2|Ala-Alice-2-2025-07-30S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|7/30/25 12:00:00|EST|1119|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|Ala-Alice-2-2025-07-30S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alice-3|Ala-Alice-3-2025-07-30S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|7/30/25 12:10:00|EST|1263|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|Ala-Alice-3-2025-07-30S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:20:00|EST|598|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|NA-2025-06-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-1|Ala-Alto-1-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:20:00|EST|598|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|Ala-Alto-1-2025-06-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:20:00|EST|598|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|NA-2025-06-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:35:00|EST|616|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|NA-2025-06-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Ala-Alto-2|Ala-Alto-2-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:35:00|EST|616|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|Ala-Alto-2-2025-06-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:35:00|EST|616|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|NA-2025-06-19S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|NA|NA-2025-06-19S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|9/5/25 09:29:59|EST|9/18/25 15:37:00|EST|6/19/25 10:55:00|EST|614|ug/L|20|60|ug/L||NA|Actual|1|21FLKWAT|None|NA-2025-06-19S
