Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-Deer-1|Cla-Deer-1-2025-08-06S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-08-06 08:50:00|EST|10|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-Deer-1-2025-08-06S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-Deer-2|Cla-Deer-2-2025-08-06S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-08-06 08:54:59|EST|7|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-Deer-2-2025-08-06S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-Deer-1|Cla-Deer-1-2025-09-08S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-09-08 10:02:00|EST|6|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-Deer-1-2025-09-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-Deer-2|Cla-Deer-2-2025-09-08S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-09-08 10:06:00|EST|6|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-Deer-2-2025-09-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-GoldBranch1|Cla-GoldBranch1-2025-08-06S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-08-06 12:55:00|EST|7|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-GoldBranch1-2025-08-06S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-GoldBranch2|Cla-GoldBranch2-2025-08-06S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-08-06 13:06:59|EST|7|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-GoldBranch2-2025-08-06S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-GoldBranch1|Cla-GoldBranch1-2025-09-08S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-09-08 11:58:00|EST|8|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-GoldBranch1-2025-09-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-GoldBranch2|Cla-GoldBranch2-2025-09-08S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-09-08 12:06:00|EST|9|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-GoldBranch2-2025-09-08S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-Johnson-1|Cla-Johnson-1-2025-08-06S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-08-06 10:48:00|EST|11|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-Johnson-1-2025-08-06S
21FLKWAT|Florida Lakewatch|AQUEOUS-Surface Water|Cla-Johnson-2|Cla-Johnson-2-2025-08-06S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|10/15/25 12:59:59|EST|10/22/25 10:46:00|EST|2025-08-06 10:55:00|EST|15|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Cla-Johnson-2-2025-08-06S
