"Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Activity_Start_Time","Activity_Time_Zone","Vol Filtered (L)","Ethanol (ml)","Tube #","750","664","647","630","750 (HCL)","665 (HCL)","Result_Value(ug/L)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Study","Comments","StartDate","PrepDate","AnDate","Value_Qualifier","Sampling_Agency_Name","Project_ID"
,,,"10/15/2025",12:00:00,"EST",,,"MBLK1",,,,1,8,1,0.003,0.003,0.004,0.003,0.003,0.003,1,,,"QTI","Q","TI","QAQC","CHLU1014202510152025",,,,,2025-10-15,"QU","Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"CCV1",,,,0.008,8,22,0.005,0.019,0.009,0.005,0.004,0.013,160,,,"",,,"QAQC","CHLU1014202510152025",,,,,2025-10-15,,"Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"MLBK2",,,,1,8,23,0.003,0.003,0.003,0.003,0.003,0.003,1,,,"TI",,"TI","QAQC","CHLU1014202510152025",,,,,2025-10-15,"U","Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"CCV2",,,,0.008,8,44,0.004,0.019,0.009,0.004,0.006,0.016,170,,,"",,,"QAQC","CHLU1014202510152025",,,,,2025-10-15,,"Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"MLBK3",,,,1,8,45,0.003,0.005,0.004,0.003,0.003,0.004,1,,,"TI",,"TI","QAQC","CHLU1014202510152025",,,,,2025-10-15,"U","Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"CCV3",,,,0.008,8,66,0.003,0.013,0.006,0.003,0.002,0.008,114,,,"",,,"QAQC","CHLU1014202510152025",,,,,2025-10-15,,"Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"MLBK4",,,,1,8,67,0.001,0.002,0.003,0.001,0.002,0.002,1,,,"TI",,"TI","QAQC","CHLU1014202510152025",,,,,2025-10-15,"U","Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"CCV4",,,,0.008,8,72,,,,,,,1,,,"QTI","Q","TI","Sample","CHLU1014202510152025",,,,,2025-10-15,"QU","Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"CCV4",,,,0.008,8,88,0.002,0.017,0.006,0.002,0.003,0.012,171,,,"",,,"QAQC","CHLU1014202510152025",,,,,2025-10-15,,"Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"MLBK5",,,,1,8,89,,,,,,,1,,,"TI",,"TI","QAQC","CHLU1014202510152025",,,,,2025-10-15,"U","Florida Lakewatch","21FLKWAT"
,,,"10/15/2025",12:00:00,"EST",,,"CCV5",,,,0.008,8,110,,,,,,,1,,,"TI",,"TI","QAQC","CHLU1014202510152025",,,,,2025-10-15,"U","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"MBLK1",,,,1,8,1,0.006,0.005,0.006,0.006,0.004,0.002,1,,,"QTI","Q","TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"QU","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"CCV1",,,,0.008,8,22,0.005,0.019,0.008,0.005,0.006,0.016,161,,,"",,,"QAQC","CHLU0930202510012025",,,,,2025-10-01,,"Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"MLBK2",,,,1,8,23,0.004,0.004,0.005,0.004,0.004,0.004,1,,,"TI",,"TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"U","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"CCV2",,,,0.008,8,44,-0.001,0.016,0.005,-0.001,-0.001,0.009,192,,,"",,,"QAQC","CHLU0930202510012025",,,,,2025-10-01,,"Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"MLBK3",,,,1,8,45,0,0.002,0.002,0,0.002,0.002,1,,,"TI",,"TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"U","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"CCV3",,,,0.008,8,66,0.003,0.02,0.009,0.003,0.003,0.012,192,,,"",,,"QAQC","CHLU0930202510012025",,,,,2025-10-01,,"Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"MLBK4",,,,1,8,67,-0.001,0.001,0.002,-0.001,0.001,0.001,1,,,"TI",,"TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"U","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"CCV4",,,,0.008,8,72,0,0.016,0.006,0,0,0.01,180,,,"Q","Q",,"Sample","CHLU0930202510012025",,,,,2025-10-01,"Q","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"CCV4",,,,0.008,8,88,,,,,,,1,,,"TI",,"TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"U","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"MLBK5",,,,1,8,89,,,,,,,1,,,"TI",,"TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"U","Florida Lakewatch","21FLKWAT"
,,,"10/01/2025",12:59:59,"EST",,,"CCV5",,,,0.008,8,110,,,,,,,1,,,"TI",,"TI","QAQC","CHLU0930202510012025",,,,,2025-10-01,"U","Florida Lakewatch","21FLKWAT"
