"Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Org_Result_Value","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","LWID","Comments","Sampling_Agency_Name","Project_ID"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Blues Creek-2","1","07/15/2024",,1,0.02,15,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"09/03/2024","10:35:00 AM","EDT","09/05/2024","12:12:00 PM","EDT","Alachua","Deer Run","1","04/15/2024",,1,0.012,9,,,,,,"Sample","COL",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","L1","10/24/2024",,1,0.143,108,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","L3","10/24/2024",,1,0.175,132,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","OD","10/24/2024",,1,0.138,104,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"11/12/2024","2:36:00 PM","EST","11/14/2024","12:33:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","OS","10/24/2024",,1,0.107,81,,,,,,"Sample","COL1112202411142024",,,"Florida Lakewatch","21FLKWAT"
"09/13/2024","3:06:00 PM","EDT","09/16/2024","1:59:00 PM","EDT","Alachua","Santa Fe-Blue Bayou Canal","1","08/19/2024",,1,0.031,22,,,,,,"Sample","COL91320249162024",,,"Florida Lakewatch","21FLKWAT"
"01/01/2004","12:00:00 AM","EDT","09/25/2024","1:56:00 PM","EDT","Alachua","Santa Fe-Blue bayou canal mouth","1","07/29/2024",,1,0.029,22,,,,,,"Sample","COL0924202409252024",,,"Florida Lakewatch","21FLKWAT"
"08/23/2024","3:00:00 PM","EDT","08/28/2024","2:30:00 PM","EDT","Charlotte","WF-4","1","04/23/2024",,1,0.106,76,,,,,,"Sample","COL8232482824",,,"Florida Lakewatch","21FLKWAT"
"10/15/2024","10:19:00 AM","EDT","10/16/2024","12:08:00 PM","EDT","Citrus","Crystal River-1","1","07/17/2024",,1,0.023,17,,,,,,"Sample","COL1015202410162024",,,"Florida Lakewatch","21FLKWAT"
