"Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Result_Value(PCU)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Study","Comments","StartDate","PrepDate","AnDate","Org_Result_Value","Sampling_Agency_Name","Project_ID"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST",,,"MBLK1",,,1,0,0,,,"QU","Q","TI","QAQC","COL1014202510152025","Student Project",,,2025-10-14,2025-10-15,"1","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Fall_Belchior_Student","1","8/13/25",,1,0.1,73,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"73","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Fall_Belchior_Student","2","8/13/25",,1,0.094,69,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"69","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Spring_Belchior_Student","1","4/29/25",,1,0.035,26,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"26","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Spring_Belchior_Student","2","4/29/25",,1,0.029,21,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-29,2025-10-14,2025-10-15,"21","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Spring_Belchior_Student","3","4/30/25",,1,0.085,62,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"62","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Spring_Belchior_Student","4","4/30/25",,1,0.085,62,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"62","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Spring_Belchior_Student","5","4/30/25",,1,0.093,68,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"68","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Downstream Spring_Belchior_Student","6","4/30/25",,1,0.114,84,,,"Q","Q",,"Sample","COL1014202510152025","Student Project",,2025-04-30,2025-10-14,2025-10-15,"84","Florida Lakewatch","21FLKWAT"
"10/14/25",15:40:00,"EST","10/15/25",11:39:00,"EST","Marion","Upstream Fall_Belchior_Student","1","8/13/25",,1,0.071,52,,,"",,,"Sample","COL1014202510152025","Student Project",,2025-08-13,2025-10-14,2025-10-15,"52","Florida Lakewatch","21FLKWAT"
