"County","Lake","StartDate","Activity_Start_Time","Station","Activity_Time_Zone","Monitoring_Location_ID"
"Collier","IFAS Collier Pond",2025-07-21,11:32:00,"2","EST","Col-IFAS Collier Pd-2"
"Collier","IFAS Collier Pond",2025-07-21,11:35:59,"3","EST","Col-IFAS Collier Pd-3"
"Collier","IFAS Collier Pond",2025-08-20,11:37:00,"1","EST","Col-IFAS Collier Pd-1"
"Collier","IFAS Collier Pond",2025-08-20,11:41:00,"2","EST","Col-IFAS Collier Pd-2"
"Collier","IFAS Collier Pond",2025-08-20,11:46:00,"3","EST","Col-IFAS Collier Pd-3"
"Collier","Islandwalk",2025-07-16,09:36:00,"2","EST","Col-Islandwalk-2"
"Collier","Islandwalk",2025-07-16,09:20:59,"3","EST","Col-Islandwalk-3"
"Collier","Islandwalk",2025-07-16,10:04:00,"8","EST","Col-Islandwalk-8"
"Collier","Saddlebrook",2025-06-30,10:42:00,"1","EST","Col-Saddlebrook-1"
"Collier","Saddlebrook",2025-06-30,10:54:00,"2","EST","Col-Saddlebrook-2"
"Collier","Saddlebrook",2025-06-30,11:01:00,"3","EST","Col-Saddlebrook-3"
"Collier","Saddlebrook",2025-07-30,10:50:00,"2","EST","Col-Saddlebrook-2"
"Collier","Saddlebrook",2025-07-30,10:57:00,"3","EST","Col-Saddlebrook-3"
"Collier","SB-61",2025-08-25,08:09:59,"1","EST","Col-SB-61-1"
"Collier","SB-61",2025-08-25,08:15:00,"2","EST","Col-SB-61-2"
"Miami-Dade","E",2025-08-17,08:44:59,"1","EST","Mia-E-1"
"Miami-Dade","E",2025-08-17,08:40:00,"2","EST","Mia-E-2"
"Miami-Dade","E",2025-08-17,08:32:00,"3","EST","Mia-E-3"
"Miami-Dade","Lakeridge",2025-04-08,09:15:00,"2","EST","Mia-Lakeridge-2"
"Miami-Dade","Lakeridge",2025-04-08,09:10:00,"3","EST","Mia-Lakeridge-3"
"Miami-Dade","Lakeridge",2025-08-26,09:10:00,"1","EST","Mia-Lakeridge-1"
"Miami-Dade","Lakeridge",2025-08-26,09:05:00,"2","EST","Mia-Lakeridge-2"
"Miami-Dade","Lakeridge",2025-08-26,09:00:00,"3","EST","Mia-Lakeridge-3"
"Miami-Dade","Oakland",2025-07-14,12:34:00,"2","EST","Mia-Oakland-2"
"Miami-Dade","Oakland",2025-07-14,12:42:00,"3","EST","Mia-Oakland-3"
"Miami-Dade","Oakland",2025-08-10,12:29:00,"1","EST","Mia-Oakland-1"
"Miami-Dade","Oakland",2025-08-10,12:38:00,"2","EST","Mia-Oakland-2"
"Miami-Dade","Oakland",2025-08-10,12:45:00,"3","EST","Mia-Oakland-3"
"Miami-Dade","Oakland",2025-09-03,11:20:00,"1","EST","Mia-Oakland-1"
"Miami-Dade","Oakland",2025-09-03,11:28:00,"2","EST","Mia-Oakland-2"
"Miami-Dade","Oakland",2025-09-03,11:35:59,"3","EST","Mia-Oakland-3"
"Palm Beach","Green Cay",2025-06-27,09:50:00,"1","EST","Pal-GreenCay-1"
"Palm Beach","Green Cay",2025-06-27,09:58:00,"2","EST","Pal-GreenCay-2"
"Palm Beach","Green Cay",2025-06-27,10:04:00,"3","EST","Pal-GreenCay-3"
"Palm Beach","Green Cay",2025-07-23,09:51:00,"2","EST","Pal-GreenCay-2"
"Palm Beach","Green Cay",2025-07-23,09:58:00,"3","EST","Pal-GreenCay-3"
"Palm Beach","Green Cay",2025-08-21,09:39:59,"1","EST","Pal-GreenCay-1"
