"County","Lake","StartDate","Activity_Start_Time","Station","Activity_Time_Zone","Monitoring_Location_ID"
"Collier","Islandwalk",2025-07-16,10:04:00,"8","EST","Col-Islandwalk-8"
"Collier","SB-61",2025-08-25,08:09:59,"1","EST","Col-SB-61-1"
"Collier","SB-61",2025-08-25,08:15:00,"2","EST","Col-SB-61-2"
"Miami-Dade","Lakeridge",2025-04-08,09:20:00,"1","EST","Mia-Lakeridge-1"
"Miami-Dade","Lakeridge",2025-04-08,09:15:00,"2","EST","Mia-Lakeridge-2"
"Miami-Dade","Lakeridge",2025-04-08,09:10:00,"3","EST","Mia-Lakeridge-3"
"Miami-Dade","Lakeridge",2025-08-26,09:10:00,"1","EST","Mia-Lakeridge-1"
"Miami-Dade","Lakeridge",2025-08-26,09:05:00,"2","EST","Mia-Lakeridge-2"
"Miami-Dade","Lakeridge",2025-08-26,09:00:00,"3","EST","Mia-Lakeridge-3"
"Palm Beach","Westwood",2025-06-30,10:59:59,"3","EST","Pal-Westwood-3"
"Palm Beach","Westwood",2025-07-30,09:29:59,"2","EST","Pal-Westwood-2"
"Hillsborough","Cooper",2025-08-08,09:49:00,"1","EST","Hil-Cooper-1"
"Hillsborough","Cooper",2025-08-08,09:56:00,"2","EST","Hil-Cooper-2"
"Hillsborough","Cooper",2025-08-08,10:14:00,"3","EST","Hil-Cooper-3"
"Hillsborough","Cooper",2025-08-08,09:50:00,"1","EST","Hil-Cooper-1"
"Hillsborough","Cooper",2025-08-08,09:57:00,"2","EST","Hil-Cooper-2"
"Hillsborough","Cooper",2025-08-08,10:05:00,"3","EST","Hil-Cooper-3"
"Sarasota","Lake 37",2025-05-02,11:30:00,"1","EST","Sar-Lake-37-1"
"Sarasota","Lake 37",2025-05-02,11:35:00,"2","EST","Sar-Lake-37-2"
"Sarasota","Lake 37",2025-05-02,11:40:00,"3","EST","Sar-Lake-37-3"
"Sarasota","Lower Myakka",2025-08-06,10:30:00,"1","EST","Sar-LowerMya-1"
"Sarasota","Lower Myakka",2025-08-06,11:09:59,"2","EST","Sar-LowerMya-2"
"Sarasota","Lower Myakka",2025-08-06,11:30:00,"3","EST","Sar-LowerMya-3"
"Alachua","Blues Creek-1",2025-07-17,,"1","EST","Ala-BluesC-1-1"
"Alachua","Turkey Creek-1",2025-07-15,,"1","EST","Ala-TurkeyC-1-1"
"Alachua","Orange",2025-08-12,10:00:00,"1","EST","Ala-Orange-1"
"Alachua","Orange",2025-08-12,10:00:00,"1","EST",
