"Org_Analyte_Name","Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Result_Value(ug/L)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Comments","Sampling_Agency_Name","Project_ID"
"Total Nitrogen","07/09/2024","9:00:00 AM","EDT","07/16/2024",,"EDT","Alachua","Blues Creek-2","1","06/11/2024",796,5,0.1281,"Result_Value(ug/L)",,,,,,"Sample","TN07092024A07162024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","08/15/2024","9:00:00 AM","EDT","08/21/2024",,"EDT","Alachua","Blues Creek-2","1","07/15/2024",406,5,0.112,"Result_Value(ug/L)",,,,,,"Sample","TN08152024A08212024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","09/04/2024","9:30:00 AM","EDT","09/06/2024","12:00:00 PM","EDT","Alachua","Cellon Creek-2","1","08/14/2024",492,5,0.2491,"Result_Value(ug/L)",,,,,,"Sample","TN09042024A09062024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/06/2024","9:00:00 AM","EST","11/08/2024",,"EST","Alachua","Lochloosa_Lynch_Student Project","L1","10/24/2024",285,5,0.2951,"Result_Value(ug/L)",,,,,,"Sample","TN11062024A11082024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/06/2024","9:00:00 AM","EST","11/08/2024",,"EST","Alachua","Lochloosa_Lynch_Student Project","L3","10/24/2024",284,5,0.3055,"Result_Value(ug/L)",,,,,,"Sample","TN11062024A11082024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/06/2024","9:00:00 AM","EST","11/08/2024",,"EST","Alachua","Lochloosa_Lynch_Student Project","OD","10/24/2024",283,5,0.3102,"Result_Value(ug/L)",,,,,,"Sample","TN11062024A11082024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/06/2024","9:00:00 AM","EST","11/08/2024",,"EST","Alachua","Lochloosa_Lynch_Student Project","OS","10/24/2024",282,5,0.307,"Result_Value(ug/L)",,,,,,"Sample","TN11062024A11082024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","09/20/2024","1:00:00 PM","EDT","10/08/2024",,"EDT","Bay","Crooked Upper","1","08/13/2024",1291,1,0.2199,"Result_Value(ug/L)",,,,,,"Sample","TN0920202410082024",,"ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.","21FLKWAT"
"Total Nitrogen","07/03/2024","12:00:00 PM","EDT","07/12/2024",,"EDT","Brevard","Clear","3","06/02/2024",488,1,0.4791,"Result_Value(ug/L)",,,,,,"Sample","TN07032024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Buck Creek Weir","1","04/05/2024",842,1,0.6575,"Result_Value(ug/L)",,,"Q","Q",,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Buck Creek Weir","2","04/05/2024",843,1,0.6731,"Result_Value(ug/L)",,,"Q","Q",,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Buck Creek Weir","3","04/05/2024",844,1,0.669,"Result_Value(ug/L)",,,"Q","Q",,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/31/2024","9:00:00 AM","EDT","11/12/2024",,"EST","Charlotte","Buck Creek Weir","1","07/22/2024",1393,1,1.2092,"Result_Value(ug/L)",,,,,,"Sample","TN10312024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/31/2024","9:00:00 AM","EDT","11/12/2024",,"EST","Charlotte","Buck Creek Weir","2","07/22/2024",1394,1,1.24,"Result_Value(ug/L)",,,,,,"Sample","TN10312024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/31/2024","9:00:00 AM","EDT","11/12/2024",,"EST","Charlotte","Buck Creek Weir","3","07/22/2024",1395,1,1.2321,"Result_Value(ug/L)",,,,,,"Sample","TN10312024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Buck Creek Weir","1","08/22/2024",1208,1,0.925,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Buck Creek Weir","2","08/22/2024",1209,1,0.9104,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Buck Creek Weir","3","08/22/2024",1210,1,0.9274,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-4","1","06/30/2024",845,1,1.7479,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-4","2","06/30/2024",846,1,1.5603,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-4","3","06/30/2024",847,1,1.6387,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-4","1","07/30/2024",848,1,1.3404,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-4","2","07/30/2024",849,1,1.3659,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-4","3","07/30/2024",850,1,1.4693,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","L-4","1","08/29/2024",1211,1,1.1557,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","L-4","2","08/29/2024",1212,1,1.1478,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","L-4","3","08/29/2024",1213,1,1.1111,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/06/2024","9:00:00 AM","EST","11/12/2024",,"EST","Charlotte","L-6","1","07/16/2024",,5,0.2651,"Result_Value(ug/L)",,"J",,,,"Sample","TN11062024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/06/2024","9:00:00 AM","EST","11/12/2024",,"EST","Charlotte","L-6","1","07/16/2024",,5,0.2487,"Result_Value(ug/L)",,"J",,,,"Sample","TN11062024B11122024","10-29A","Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-6","2","07/16/2024",852,5,0.2547,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","L-6","3","07/16/2024",853,5,0.2451,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","L-6","1","08/20/2024",1214,5,0.2207,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","L-6","2","08/20/2024",1215,5,0.2142,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","L-6","3","08/20/2024",1216,5,0.2156,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","LC-1","1","06/20/2024",854,1,1.7476,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/31/2024","9:00:00 AM","EDT","11/12/2024",,"EST","Charlotte","LC-1","1","07/16/2024",1396,1,1.6255,"Result_Value(ug/L)",,,,,,"Sample","TN10312024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","LC-1","1","08/20/2024",1217,1,1.8077,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","LC-2","1","06/20/2024",855,1,1.383,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/31/2024","9:00:00 AM","EDT","11/12/2024",,"EST","Charlotte","LC-2","1","07/16/2024",1397,1,1.4203,"Result_Value(ug/L)",,,,,,"Sample","TN10312024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","LC-2","1","08/20/2024",1218,1,1.1402,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","LC-3","1","06/20/2024",856,1,1.779,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/31/2024","9:00:00 AM","EDT","11/12/2024",,"EST","Charlotte","LC-3","1","07/16/2024",1398,1,1.9588,"Result_Value(ug/L)",,,,,,"Sample","TN10312024A11122024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","LC-3","1","08/20/2024",1219,1,1.9743,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","07/23/2024","9:00:00 AM","EDT","07/26/2024",,"EDT","Charlotte","Oakland Hills End","1","04/23/2024",350,1,1.0152,"Result_Value(ug/L)",,,,,,"Sample","TN07232024A07262024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","07/23/2024","9:00:00 AM","EDT","07/26/2024",,"EDT","Charlotte","Oakland Hills End","2","04/23/2024",351,1,0.9945,"Result_Value(ug/L)",,,,,,"Sample","TN07232024A07262024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","07/23/2024","9:00:00 AM","EDT","07/26/2024",,"EDT","Charlotte","Oakland Hills End","3","04/23/2024",352,1,0.9352,"Result_Value(ug/L)",,,,,,"Sample","TN07232024A07262024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Oakland Hills End","1","07/19/2024",857,1,1.3632,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Oakland Hills End","2","07/19/2024",858,1,1.396,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Oakland Hills End","3","07/19/2024",859,1,1.3738,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Oakland Hills End","1","08/19/2024",1220,1,0.9709,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Oakland Hills End","2","08/19/2024",1221,1,0.9907,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Oakland Hills End","3","08/19/2024",1227,1,0.9605,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Pine Valley End","1","07/21/2024",860,1,0.9417,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Pine Valley End","2","07/21/2024",861,1,0.9294,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Pine Valley End","3","07/21/2024",867,1,0.9039,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Pine Valley End","1","08/26/2024",1228,1,0.8877,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Pine Valley End","2","08/26/2024",1229,1,0.8793,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Pine Valley End","3","08/26/2024",1230,1,0.8741,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Redfish","1","07/09/2024",868,2,0.7898,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Redfish","2","07/09/2024",869,2,0.6806,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Redfish","1","08/09/2024",1231,2,0.5857,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Redfish","2","08/09/2024",1232,2,0.4312,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Sturgeon","1","07/05/2024",870,2,0.5894,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Sturgeon","2","07/05/2024",871,2,0.6242,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Sturgeon","1","08/07/2024",1233,2,0.7427,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","11/08/2024","9:00:00 AM","EST","11/14/2024",,"EST","Charlotte","Sturgeon","2","08/07/2024",1234,2,0.6943,"Result_Value(ug/L)",,,,,,"Sample","TN1108202411142024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Sunapee","1","07/05/2024",872,2,0.8461,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
"Total Nitrogen","10/29/2024","9:00:00 AM","EDT","11/01/2024",,"EDT","Charlotte","Sunapee","2","07/05/2024",873,2,0.829,"Result_Value(ug/L)",,,,,,"Sample","TN10292024A11012024",,"Florida Lakewatch","21FLKWAT"
