"Org_Analyte_Name","Preparation_Date","Preparation_Time","Preparation_Time_Zone","Analysis_Date","Analysis_Time","Analysis_Time_Zone","County","Lake","Station","Activity_Start_Date","Tube_Number","Dilution","Abs","Result_Value(ug/L)","Result_Comments","QAQC_Qualifier","WIN_Value_Qualifier","Holding_Qualifier","MDL_PQL_Qualifier","Data_Category","Run_ID","Comments","Sampling_Agency_Name","Project_ID"
"Total Phosphorus","07/09/2024","9:00:00 AM","EDT","07/15/2024","12:58:00 PM","EDT","Alachua","Blues Creek-2","1","06/11/2024",36,5,0.588,"Result_Value(ug/L)",,,,,,"Sample","TP07092024A",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","08/26/2024","2:00:00 PM","EDT","08/29/2024","8:38:00 AM","EDT","Alachua","Blues Creek-2","1","07/15/2024",108,5,0.652,"Result_Value(ug/L)",,,,,,"Sample","TP08212024082924","8-15-2024 A","Florida Lakewatch","21FLKWAT"
"Total Phosphorus","09/04/2024","9:30:00 AM","EDT","09/06/2024","11:55:00 AM","EDT","Alachua","Cellon Creek-2","1","08/14/2024",12,5,0.904,"Result_Value(ug/L)",,,,,,"Sample","TP009042024A09062024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/06/2024","9:00:00 AM","EST","11/07/2024","12:38:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","L1","10/24/2024",1245,1,0.104,"Result_Value(ug/L)",,,,,,"Sample","TP11062024ATP11072024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/06/2024","9:00:00 AM","EST","11/07/2024","12:38:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","L3","10/24/2024",1244,1,0.124,"Result_Value(ug/L)",,,,,,"Sample","TP11062024ATP11072024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/06/2024","9:00:00 AM","EST","11/07/2024","12:38:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","OD","10/24/2024",1243,1,0.156,"Result_Value(ug/L)",,,,,,"Sample","TP11062024ATP11072024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","11/06/2024","9:00:00 AM","EST","11/07/2024","12:38:00 PM","EST","Alachua","Lochloosa_Lynch_Student Project","OS","10/24/2024",1242,1,0.148,"Result_Value(ug/L)",,,,,,"Sample","TP11062024ATP11072024",,"Florida Lakewatch","21FLKWAT"
"Total Phosphorus","09/20/2024","1:00:00 PM","EDT","09/25/2024","12:35:00 PM","EDT","Bay","Crooked Upper","1","08/13/2024",1451,1,0.017,"Result_Value(ug/L)",,,"I",,"I","Sample","TP09202024",,"ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.","21FLKWAT"
"Total Phosphorus","09/20/2024","1:00:00 PM","EDT","09/25/2024","12:35:00 PM","EDT","Bay","Crooked Upper","1","08/13/2024",1452,1,0.021,"Result_Value(ug/L)",,,"I",,"I","Sample","TP09202024",,"ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.","21FLKWAT"
"Total Phosphorus","10/29/2024","9:00:00 AM","EDT","10/31/2024","9:10:00 AM","EDT","Charlotte","Buck Creek Weir","1","04/05/2024",1082,1,0.054,"Result_Value(ug/L)",,,"Q","Q",,"Sample","TP10292024ATP10312024",,"Florida Lakewatch","21FLKWAT"
