Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Beatty-Bayou-1|Bay-Beatty-Bayou-1-2025-06-13S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/14/2025 16:30:00|CST|09/23/2025 12:00:00|EST|06/13/2025 07:51:00|CST|3|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Bay-Beatty-Bayou-1-2025-06-13S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Burnt M-1L|Bay-Burnt M-1L-2025-06-12S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/12/2025 22:06:59|CST|09/23/2025 12:00:00|EST|06/12/2025 09:13:00|CST|1|ug/L|1|1|ug/L|U| |Actual|1|21FLKWAT|None|Bay-Burnt M-1L-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Burnt M-1U|Bay-Burnt M-1U-2025-06-12S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/12/2025 22:04:00|CST|09/23/2025 12:00:00|EST|06/12/2025 09:27:59|CST|4|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Bay-Burnt M-1U-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-CallawayB-2|Bay-CallawayB-2-2025-06-23S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/23/2025 NA|CST|09/23/2025 12:00:00|EST|06/23/2025 NA|CST|2|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Bay-CallawayB-2-2025-06-23S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Crooked L-1|Bay-Crooked L-1-2025-06-12S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/12/2025 22:11:00|CST|09/23/2025 12:00:00|EST|06/12/2025 09:02:59|CST|1|ug/L|1|1|ug/L|U| |Actual|1|21FLKWAT|None|Bay-Crooked L-1-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Crooked U-1|Bay-Crooked U-1-2025-06-12S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/12/2025 22:14:59|CST|09/23/2025 12:00:00|EST|06/12/2025 08:27:00|CST|1|ug/L|1|1|ug/L|U| |Actual|1|21FLKWAT|None|Bay-Crooked U-1-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Crooked-Upper-2|Bay-Crooked-Upper-2-2025-06-12S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|06/12/2025 22:19:00|CST|09/23/2025 12:00:00|EST|06/12/2025 08:38:00|CST|1|ug/L|1|1|ug/L|U| |Actual|1|21FLKWAT|None|Bay-Crooked-Upper-2-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-DeerPoin-1|Bay-DeerPoin-1-2025-05-27S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|05/29/2025 11:24:00|CST|09/23/2025 12:00:00|EST|05/27/2025 11:26:00|CST|4|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Bay-DeerPoin-1-2025-05-27S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|NA|NA-2025-05-27S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|05/29/2025 11:24:00|CST|09/23/2025 12:00:00|EST|05/27/2025 11:26:00|CST|4|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|NA-2025-05-27S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-DeerPoin-2|Bay-DeerPoin-2-2025-05-27S|FL-BIO-004|Chlorophyll a- uncorrected|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-CHL|Total|05/29/2025 11:29:00|CST|09/23/2025 12:00:00|EST|05/27/2025 11:40:00|CST|5|ug/L|1|1|ug/L|| |Actual|1|21FLKWAT|None|Bay-DeerPoin-2-2025-05-27S
