Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Powell-1|Bay-Powell-1-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 10:01:00|CST|11|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Powell-1-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Powell-2|Bay-Powell-2-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 10:19:00|CST|9|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Powell-2-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Powell-3|Bay-Powell-3-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 10:37:00|CST|10|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Powell-3-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Powell-4|Bay-Powell-4-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 10:26:59|CST|14|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Powell-4-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Powell-5|Bay-Powell-5-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 09:02:59|CST|13|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Powell-5-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Powell-6|Bay-Powell-6-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 10:10:00|CST|10|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Powell-6-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Po-kEast-1|Bay-Po-kEast-1-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 09:23:00|CST|12|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Po-kEast-1-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Po-kEast-2|Bay-Po-kEast-2-2025-06-18S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-18 09:39:59|CST|14|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Po-kEast-2-2025-06-18S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Beatty-Bayou-1|Bay-Beatty-Bayou-1-2025-06-13S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-13 07:51:00|CST|15|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Beatty-Bayou-1-2025-06-13S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-CallawayB-2|Bay-CallawayB-2-2025-06-23S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-23 NA|CST|11|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-CallawayB-2-2025-06-23S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Crooked U-1|Bay-Crooked U-1-2025-06-12S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-12 08:27:00|CST|9|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Crooked U-1-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Crooked-Upper-2|Bay-Crooked-Upper-2-2025-06-12S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-12 08:38:00|CST|11|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Crooked-Upper-2-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-Crooked L-1|Bay-Crooked L-1-2025-06-12S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-06-12 09:02:59|CST|9|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-Crooked L-1-2025-06-12S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-DeerPoin-1|Bay-DeerPoin-1-2025-05-27S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-05-27 11:26:00|CST|11|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-DeerPoin-1-2025-05-27S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|NA|NA-2025-05-27S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-05-27 11:26:00|CST|11|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|NA-2025-05-27S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|Bay-DeerPoin-2|Bay-DeerPoin-2-2025-05-27S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-05-27 11:40:00|CST|12|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|Bay-DeerPoin-2-2025-05-27S
21FLKWAT|ST. ANDREW BAY RESOURCE MANAGEMENT ASSOCIATION INC.|AQUEOUS-Surface Water|NA|NA-2025-05-27S|1910|Phosphorus- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TP|Total|9/3/25 10:59:59|EST|9/4/25 11:23:00|EST|2025-05-27 11:40:00|CST|12|ug/L|6|19|ug/L|I|NA|Actual|1|21FLKWAT|None|NA-2025-05-27S
