Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT_Analyte_ID|Org_Analyte_Name|Activity_Type|Sample_Collection_Type|Sample_Collection_Equipment|Activity_Depth|Activity_Depth_Unit|Total_Depth|Total_Depth_Unit|Analysis_Method|Sample_Fraction|Preparation_Date_Time|Preparation_Time_Zone|Analysis_Date_Time|Analysis_Time_Zone|Activity_Date_Time|Activity_Time_Zone|Org_Result_Value|Org_Result_Unit|Org_MDL|Org_PQL|Org_Detection_Unit|Value_Qualifier|Result_Comments|Result_Value_Type_Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-1|CIT-CRY-1-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||3.3|m|FDEP FT1700|| | | | |12/03/2025 09:23:00 AM|EST|1.8|m||||| |Actual||21FLKWAT|None|CIT-CRY-1-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-2|CIT-CRY-2-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||1.8|m|FDEP FT1700|| | | | |12/03/2025 09:09:00 AM|EST|1.4|m||||| |Actual||21FLKWAT|None|CIT-CRY-2-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-3|CIT-CRY-3-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||0.5|m|FDEP FT1700|| | | | |12/03/2025 08:53:00 AM|EST|0.5|m||||S| |Actual||21FLKWAT|None|CIT-CRY-3-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-4|CIT-CRY-4-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||0.6|m|FDEP FT1700|| | | | |12/03/2025 08:29:00 AM|EST|0.6|m||||S| |Actual||21FLKWAT|None|CIT-CRY-4-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-5|CIT-CRY-5-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||2.3|m|FDEP FT1700|| | | | |12/03/2025 09:37:00 AM|EST|2.3|m||||S| |Actual||21FLKWAT|None|CIT-CRY-5-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-6|CIT-CRY-6-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||1.7|m|FDEP FT1700|| | | | |12/03/2025 09:52:00 AM|EST|1.7|m||||S| |Actual||21FLKWAT|None|CIT-CRY-6-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-7|CIT-CRY-7-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||1|m|FDEP FT1700|| | | | |12/03/2025 03:49:00 PM|EST|1|m||||S| |Actual||21FLKWAT|None|CIT-CRY-7-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-8|CIT-CRY-8-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||0.8|m|FDEP FT1700|| | | | |12/03/2025 10:09:00 AM|EST|0.8|m||||S| |Actual||21FLKWAT|None|CIT-CRY-8-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-9|CIT-CRY-9-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||1|m|FDEP FT1700|| | | | |12/03/2025 03:11:00 PM|EST|1|m||||S| |Actual||21FLKWAT|None|CIT-CRY-9-12/03/2025F
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-10|CIT-CRY-10-12/03/2025F|WIN-010|Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||1.9|m|FDEP FT1700|| | | | |12/03/2025 03:31:00 PM|EST|1.5|m||||| |Actual||21FLKWAT|None|CIT-CRY-10-12/03/2025F
