Org Analyte Name|Activity Type|Sample Collection Type|Sample Collection Equipment|Activity Depth|Activity Depth Unit|Total Depth|Total Depth Unit|Analysis Method|Sample Fraction|Preparation Date|Preparation Time|Preparation Time Zone|Analysis Date|Analysis Time|Analysis Time Zone|County.x|Lake.x|Station.x|Activity Start Date|Activity Start Time|Activity Time Zone|Org Result Value|Org Result Unit|Org MDL|Org PQL|Org Detection Unit|Value Qualifier|Result Comments|Result Value Type Name|Dilution|Lake_County_Sta|Study|County.y|Lake.y|Station.y|Monitoring Location ID|Project_ID|Sampling_Agency_Name
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||11|ft|FDEP FT1700||||||||Alachua|Alice|1|2024-01-25|2:28:00 PM|EST|7|ft||||||Actual||Alice Alachua 1|LW|Alachua|Alice|1|Ala-Alice-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||3.3|ft|FDEP FT1700||||||||Alachua|Alice|2|2024-01-25|3:03:00 PM|EST|3.3|ft||||S||Actual||Alice Alachua 2|LW|Alachua|Alice|2|Ala-Alice-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||3.3|ft|FDEP FT1700||||||||Alachua|Alice|3|2024-01-25|1:40:00 PM|EST|3.3|ft||||S||Actual||Alice Alachua 3|LW|Alachua|Alice|3|Ala-Alice-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Alto|1|2023-11-21|10:22:00 AM|EST|5|ft||||||Actual||Alto Alachua 1|LW|Alachua|Alto|1|Ala-Alto-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Alto|2|2023-11-21|10:44:00 AM|EST|5|ft||||||Actual||Alto Alachua 2|LW|Alachua|Alto|2|Ala-Alto-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Alto|3|2023-11-21|11:02:00 AM|EST|5|ft||||||Actual||Alto Alachua 3|LW|Alachua|Alto|3|Ala-Alto-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Alto|1|2023-12-18|11:16:00 AM|EST|5|ft||||||Actual||Alto Alachua 1|LW|Alachua|Alto|1|Ala-Alto-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Alto|2|2023-12-18|11:40:00 AM|EST|5|ft||||||Actual||Alto Alachua 2|LW|Alachua|Alto|2|Ala-Alto-2|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Alto|3|2023-12-18|12:00:00 PM|EST|4|ft||||||Actual||Alto Alachua 3|LW|Alachua|Alto|3|Ala-Alto-3|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-1|1|2023-11-08|1:14:00 PM|EST|Not Reported|||||||Actual||Blues Creek-1 Alachua 1|LW|Alachua|Blues Creek-1|1|Ala-BluesC-1-1|21FLKWAT|Florida Lakewatch
Depth, Secchi Disk Depth|Field|Field Testing-Discrete|Misc Field Device|||||FDEP FT1700||||||||Alachua|Blues Creek-1|1|2023-12-06|1:41:00 PM|EST||ft||||||Actual||Blues Creek-1 Alachua 1|LW|Alachua|Blues Creek-1|1|Ala-BluesC-1-1|21FLKWAT|Florida Lakewatch
