Project_ID|Sampling_Agency_Name|Matrix|Monitoring_Location_ID|Activity_ID|ADAPT Analyte ID|Org Analyte Name|Activity Type|Sample Collection Type|Sample Collection Equipment|Activity Depth|Activity Depth Unit|Total Depth|Total Depth Unit|Analysis Method|Sample Fraction|Preparation_Date_Time|Preparation Time Zone|Analysis_Date_Time|Analysis Time Zone|Activity_Date_Time|Activity Time Zone|Org Result Value|Org Result Unit|Org MDL|Org PQL|Org Detection Unit|Value Qualifier|Result Comments|Result Value Type Name|Dilution|Lab_ID|Lab_Accreditation_Authority|Lab_Sample_ID
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-1|CIT-CRY-1-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 09:34:00 AM|EST|260|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-1-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-2|CIT-CRY-2-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 09:11:00 AM|EST|280|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-2-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-3|CIT-CRY-3-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 08:50:00 AM|EST|310|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-3-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-4|CIT-CRY-4-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 08:23:00 AM|EST|370|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-4-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-5|CIT-CRY-5-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 09:58:00 AM|EST|260|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-5-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-6|CIT-CRY-6-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 11:31:00 AM|EST|270|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-6-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-7|CIT-CRY-7-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 11:15:00 AM|EST|300|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-7-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-8|CIT-CRY-8-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 10:19:00 AM|EST|360|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-8-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-9|CIT-CRY-9-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 10:35:00 AM|EST|410|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-9-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-10|CIT-CRY-10-03/06/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|4/4/24 10:00:00 AM|EDT|4/11/24 10:31:00 AM|EDT|03/06/2024 10:57:00 AM|EST|390|ug/L|20|60|ug/L|||Atcutal|1|21FLKWAT|None|CIT-CRY-10-03/06/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-1|CIT-CRY-1-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 09:21:00 AM|EST|230|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-1-01/24/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-2|CIT-CRY-2-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 09:05:00 AM|EST|270|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-2-01/24/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-3|CIT-CRY-3-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 08:50:00 AM|EST|300|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-3-01/24/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-4|CIT-CRY-4-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 08:21:00 AM|EST|330|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-4-01/24/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-5|CIT-CRY-5-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 09:40:00 AM|EST|220|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-5-01/24/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-6|CIT-CRY-6-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 10:00:00 AM|EST|230|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-6-01/24/2024S
21FLUFSW|University of Florida (Soil and Water Sciences Department)|AQUEOUS-Surface Water|CIT-CRY-7|CIT-CRY-7-01/24/2024S|FL-INORG-002|Nitrogen- Total|Sample|Direct Grab|Water Bottle|0.3|m|||LAKEWATCH-TN|Total|1/29/24 12:50:00 PM|EST|1/31/24 11:49:00 AM|EST|01/24/2024 11:26:00 AM|EST|260|ug/L|20|60|ug/L|||Actual|1|21FLKWAT|None|CIT-CRY-7-01/24/2024S
